raceId,driverId,lap,position,time,milliseconds,
1073,1,1,1,1:31.686,91686,
1073,1,2,1,1:28.791,88791,
1073,1,3,1,1:28.587,88587,
1073,1,4,1,1:28.789,88789,
1073,1,5,1,1:28.630,88630,
1073,1,6,1,1:28.593,88593,
1073,1,7,1,1:28.550,88550,
1073,1,8,1,1:28.585,88585,
1073,1,9,1,1:28.356,88356,
1073,1,10,1,1:28.216,88216,
1073,1,11,1,1:28.134,88134,
1073,1,12,1,1:28.566,88566,
1073,1,13,1,1:28.258,88258,
1073,1,14,1,1:30.253,90253,
1073,1,15,2,1:48.755,108755,
1073,1,16,2,1:27.833,87833,
1073,1,17,2,1:27.780,87780,
1073,1,18,2,1:27.889,87889,
1073,1,19,2,1:28.232,88232,
1073,1,20,2,1:33.443,93443,
1073,1,21,1,1:30.485,90485,
1073,1,22,1,1:28.006,88006,
1073,1,23,1,1:27.663,87663,
1073,1,24,1,1:27.979,87979,
1073,1,25,1,1:27.870,87870,
1073,1,26,1,1:28.077,88077,
1073,1,27,1,1:27.975,87975,
1073,1,28,1,1:28.143,88143,
1073,1,29,1,1:27.484,87484,
1073,1,30,1,1:27.508,87508,
1073,1,31,1,1:27.495,87495,
1073,1,32,1,1:27.444,87444,
1073,1,33,1,1:27.742,87742,
1073,1,34,1,1:27.201,87201,
1073,1,35,1,1:27.591,87591,
1073,1,36,1,1:41.467,101467,
1073,1,37,1,1:56.216,116216,
1073,1,38,1,1:30.157,90157,
1073,1,39,1,1:26.762,86762,
1073,1,40,1,1:27.387,87387,
1073,1,41,1,1:26.718,86718,
1073,1,42,1,1:26.782,86782,
1073,1,43,1,1:26.615,86615,
1073,1,44,1,1:27.020,87020,
1073,1,45,1,1:26.966,86966,
1073,1,46,1,1:27.270,87270,
1073,1,47,1,1:27.683,87683,
1073,1,48,1,1:27.553,87553,
1073,1,49,1,1:26.875,86875,
1073,1,50,1,1:26.784,86784,
1073,1,51,1,1:26.934,86934,
1073,1,52,1,1:26.833,86833,
1073,1,53,1,1:38.574,98574,
1073,1,54,1,2:22.911,142911,
1073,1,55,1,2:32.083,152083,
1073,1,56,1,2:25.761,145761,
1073,1,57,1,2:28.331,148331,
1073,1,58,2,1:29.330,89330,
1073,830,1,2,1:32.800,92800,
1073,830,2,2,1:29.103,89103,
1073,830,3,2,1:28.827,88827,
1073,830,4,2,1:29.026,89026,
1073,830,5,2,1:28.718,88718,
1073,830,6,2,1:28.707,88707,
1073,830,7,2,1:28.636,88636,
1073,830,8,2,1:28.817,88817,
1073,830,9,2,1:28.671,88671,
1073,830,10,2,1:28.890,88890,
1073,830,11,2,1:29.137,89137,
1073,830,12,2,1:29.282,89282,
1073,830,13,2,1:31.515,91515,
1073,830,14,4,1:47.251,107251,
1073,830,15,4,1:28.492,88492,
1073,830,16,4,1:29.006,89006,
1073,830,17,4,1:29.108,89108,
1073,830,18,3,1:28.502,88502,
1073,830,19,3,1:28.713,88713,
1073,830,20,3,1:28.387,88387,
1073,830,21,2,1:28.569,88569,
1073,830,22,2,1:28.322,88322,
1073,830,23,2,1:28.175,88175,
1073,830,24,2,1:28.179,88179,
1073,830,25,2,1:28.041,88041,
1073,830,26,2,1:28.600,88600,
1073,830,27,2,1:28.348,88348,
1073,830,28,2,1:27.935,87935,
1073,830,29,2,1:27.904,87904,
1073,830,30,2,1:27.678,87678,
1073,830,31,2,1:27.917,87917,
1073,830,32,2,1:27.913,87913,
1073,830,33,2,1:27.581,87581,
1073,830,34,2,1:27.783,87783,
1073,830,35,2,1:27.761,87761,
1073,830,36,2,1:43.598,103598,
1073,830,37,2,2:08.605,128605,
1073,830,38,2,1:26.321,86321,
1073,830,39,2,1:26.103,86103,
