resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25386,1073,830,9,33,1,1,1,1,26,58,1:30:17.345,5417345,39,1,1:26.103,220.800,1
25387,1073,1,131,44,2,2,2,2,18,58,2.256,5419601,43,3,1:26.615,219.495,1
25388,1073,832,6,55,5,3,3,3,15,58,5.173,5422518,51,9,1:27.618,216.982,1
25389,1073,852,213,22,8,4,4,4,12,58,5.692,5423037,50,7,1:27.496,217.285,1
25390,1073,842,213,10,12,5,5,5,10,58,6.531,5423876,49,6,1:27.342,217.668,1
25391,1073,822,131,77,6,6,6,6,8,58,7.463,5424808,51,5,1:26.862,218.871,1
25392,1073,846,1,4,3,7,7,7,6,58,59.200,5476545,58,4,1:26.762,219.123,1
25393,1073,4,214,14,11,8,8,8,4,58,+1:01.708,5479053,58,8,1:27.607,217.010,1
25394,1073,839,214,31,9,9,9,9,2,58,+1:04.026,5481371,58,10,1:28.249,215.431,1
25395,1073,844,6,16,7,10,10,10,1,58,+1:06.057,5483402,40,12,1:28.433,214.983,1
25396,1073,20,117,5,15,11,11,11,0,58,+1:07.527,5484872,58,11,1:28.303,215.299,1
25397,1073,817,1,3,10,12,12,12,0,57,\N,\N,48,14,1:28.723,214.280,11
25398,1073,840,117,18,13,13,13,13,0,57,\N,\N,48,13,1:28.567,214.657,11
25399,1073,854,210,47,19,14,14,14,0,57,\N,\N,42,17,1:29.457,212.522,11
25400,1073,815,9,11,4,15,15,15,0,55,\N,\N,51,2,1:26.419,219.993,5
25401,1073,849,3,6,16,\N,R,16,0,50,\N,\N,30,15,1:29.293,212.912,3
25402,1073,841,51,99,14,\N,R,17,0,33,\N,\N,33,16,1:29.442,212.557,6
25403,1073,847,3,63,17,\N,R,18,0,26,\N,\N,23,19,1:30.647,209.732,6
25404,1073,8,51,7,18,\N,R,19,0,25,\N,\N,23,18,1:29.698,211.951,23
25405,1073,853,210,9,20,\N,W,20,0,0,\N,\N,\N,0,\N,\N,139
