DriverID,Name,Team,Color,Check
815,Perez,Red Bull,#0600EF,FALSE
832,Sainz,Ferrari,#DC0000,TRUE
852,Yuki,AlphaTauri,#2B4562,TRUE
4,Alonso,Alpine,#0090FF,TRUE
822,Bottas,Mercedes,#00D2BE,FALSE
817,Daniel,McLaren,#FF8700,FALSE
842,Gasly,AlphaTauri,#2B4562,FALSE
1,Hamilton,Mercedes,#00D2BE,TRUE
8,Kimi,Alfa Romeo,#A52A2A,FALSE
840,Stroll,Aston Martin,#006F62,FALSE
849,Latifi,Williams,#8B008B,TRUE
844,Leclerc,Ferrari,#DC0000,FALSE
830,Verstappen,Red Bull,#0600EF,TRUE
854,Mick,Haas,#8FBC8F,TRUE
853,Nikita,Haas,#8FBC8F,FALSE
846,Norris,McLaren,#FF8700,TRUE
839,Ocon,Alpine,#0090FF,FALSE
20,Vettel,Aston Martin,#006F62,TRUE
847,George,Williams,#8B008B,FALSE
841,Gio,Alfa Romeo,#A52A2A,TRUE
