raceId,driverId,lap,position,time,milliseconds,
1060,830,1,1,1:27.835,87835,
1060,830,2,1,1:52.329,112329,
1060,830,3,1,1:56.564,116564,
1060,830,4,1,1:09.799,69799,
1060,830,5,1,1:09.735,69735,
1060,830,6,1,1:09.451,69451,
1060,830,7,1,1:09.282,69282,
1060,830,8,1,1:09.327,69327,
1060,830,9,1,1:09.218,69218,
1060,830,10,1,1:09.091,69091,
1060,830,11,1,1:09.132,69132,
1060,830,12,1,1:09.145,69145,
1060,830,13,1,1:09.126,69126,
1060,830,14,1,1:09.100,69100,
1060,830,15,1,1:09.074,69074,
1060,830,16,1,1:09.070,69070,
1060,830,17,1,1:09.071,69071,
1060,830,18,1,1:09.206,69206,
1060,830,19,1,1:09.274,69274,
1060,830,20,1,1:09.355,69355,
1060,830,21,1,1:09.252,69252,
1060,830,22,1,1:09.328,69328,
1060,830,23,1,1:09.494,69494,
1060,830,24,1,1:09.500,69500,
1060,830,25,1,1:08.882,68882,
1060,830,26,1,1:09.611,69611,
1060,830,27,1,1:09.323,69323,
1060,830,28,1,1:09.304,69304,
1060,830,29,1,1:09.498,69498,
1060,830,30,1,1:09.515,69515,
1060,830,31,1,1:09.630,69630,
1060,830,32,1,1:13.134,73134,
1060,830,33,1,1:25.451,85451,
1060,830,34,1,1:08.473,68473,
1060,830,35,1,1:08.728,68728,
1060,830,36,1,1:08.769,68769,
1060,830,37,1,1:08.904,68904,
1060,830,38,1,1:08.714,68714,
1060,830,39,1,1:08.641,68641,
1060,830,40,1,1:09.147,69147,
1060,830,41,1,1:08.887,68887,
1060,830,42,1,1:08.822,68822,
1060,830,43,1,1:08.887,68887,
1060,830,44,1,1:08.880,68880,
1060,830,45,1,1:09.429,69429,
1060,830,46,1,1:08.833,68833,
1060,830,47,1,1:08.810,68810,
1060,830,48,1,1:08.860,68860,
1060,830,49,1,1:08.769,68769,
1060,830,50,1,1:08.610,68610,
1060,830,51,1,1:08.439,68439,
1060,830,52,1,1:08.489,68489,
1060,830,53,1,1:08.173,68173,
1060,830,54,1,1:08.237,68237,
1060,830,55,1,1:08.147,68147,
1060,830,56,1,1:08.012,68012,
1060,830,57,1,1:07.992,67992,
1060,830,58,1,1:07.835,67835,
1060,830,59,1,1:08.106,68106,
1060,830,60,1,1:11.722,71722,
1060,830,61,1,1:25.090,85090,
1060,830,62,1,1:06.200,66200,
1060,830,63,1,1:08.549,68549,
1060,830,64,1,1:08.172,68172,
1060,830,65,1,1:07.947,67947,
1060,830,66,1,1:07.950,67950,
1060,830,67,1,1:07.780,67780,
1060,830,68,1,1:07.975,67975,
1060,830,69,1,1:07.860,67860,
1060,830,70,1,1:07.862,67862,
1060,830,71,1,1:07.737,67737,
1060,846,1,2,1:30.875,90875,
1060,846,2,2,1:51.122,111122,
1060,846,3,2,1:55.160,115160,
1060,846,4,2,1:11.327,71327,
1060,846,5,2,1:10.100,70100,
1060,846,6,2,1:09.903,69903,
1060,846,7,2,1:09.602,69602,
1060,846,8,2,1:09.694,69694,
1060,846,9,2,1:09.445,69445,
1060,846,10,2,1:09.706,69706,
1060,846,11,2,1:09.541,69541,
1060,846,12,2,1:09.755,69755,
1060,846,13,2,1:09.534,69534,
1060,846,14,2,1:09.603,69603,
1060,846,15,2,1:09.541,69541,
1060,846,16,2,1:09.496,69496,
1060,846,17,2,1:09.649,69649,
1060,846,18,2,1:09.605,69605,
1060,846,19,2,1:09.810,69810,
1060,846,20,3,1:11.188,71188,
1060,846,21,3,1:10.127,70127,
1060,846,22,3,1:10.089,70089,
1060,846,23,3,1:09.946,69946,
1060,846,24,3,1:09.856,69856,
1060,846,25,3,1:09.922,69922,
1060,846,26,3,1:09.666,69666,
1060,846,27,3,1:10.085,70085,
1060,846,28,3,1:10.089,70089,
1060,846,29,3,1:09.957,69957,
1060,846,30,3,1:13.463,73463,
1060,846,31,4,1:31.546,91546,
1060,846,32,4,1:09.247,69247,
1060,846,33,4,1:09.066,69066,
1060,846,34,4,1:08.566,68566,
1060,846,35,4,1:08.694,68694,
1060,846,36,4,1:09.194,69194,
1060,846,37,4,1:08.910,68910,
1060,846,38,4,1:09.030,69030,
1060,846,39,4,1:09.257,69257,
1060,846,40,4,1:08.984,68984,
1060,846,41,4,1:08.884,68884,
1060,846,42,4,1:08.767,68767,
1060,846,43,4,1:08.740,68740,
1060,846,44,4,1:08.825,68825,
1060,846,45,4,1:08.957,68957,
1060,846,46,4,1:08.893,68893,
1060,846,47,4,1:09.461,69461,
1060,846,48,4,1:09.289,69289,
1060,846,49,4,1:08.817,68817,
1060,846,50,4,1:08.757,68757,
1060,846,51,4,1:08.582,68582,
1060,846,52,4,1:08.912,68912,
1060,846,53,3,1:08.923,68923,
1060,846,54,3,1:08.664,68664,
1060,846,55,3,1:08.494,68494,
1060,846,56,3,1:08.687,68687,
1060,846,57,3,1:08.894,68894,
1060,846,58,3,1:08.686,68686,
1060,846,59,3,1:08.635,68635,
1060,846,60,3,1:08.756,68756,
1060,846,61,3,1:08.499,68499,
1060,846,62,3,1:08.471,68471,
1060,846,63,3,1:08.515,68515,
1060,846,64,3,1:08.574,68574,
1060,846,65,3,1:08.650,68650,
1060,846,66,3,1:08.988,68988,
1060,846,67,3,1:08.973,68973,
1060,846,68,3,1:09.410,69410,
1060,846,69,3,1:08.848,68848,
1060,846,70,3,1:09.003,69003,
1060,846,71,3,1:09.658,69658,
1060,815,1,3,1:33.418,93418,
1060,815,2,3,1:49.522,109522,
1060,815,3,3,1:54.355,114355,
1060,815,4,10,1:16.025,76025,
1060,815,5,10,1:11.663,71663,
1060,815,6,10,1:11.316,71316,
1060,815,7,10,1:11.003,71003,
1060,815,8,10,1:11.253,71253,
1060,815,9,10,1:11.063,71063,
1060,815,10,10,1:11.029,71029,
1060,815,11,10,1:11.322,71322,
1060,815,12,9,1:11.737,71737,
