resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25126,1060,830,9,33,1,1,1,1,26,71,1:23:54.543,5034543,62,1,1:06.200,234.815,1
25127,1060,822,131,77,5,2,2,2,18,71,17.973,5052516,52,6,1:08.374,227.349,1
25128,1060,846,1,4,2,3,3,3,15,71,20.019,5054562,62,10,1:08.471,227.027,1
25129,1060,1,131,44,4,4,4,4,12,71,46.452,5080995,55,3,1:08.126,228.177,1
25130,1060,832,6,55,10,5,5,5,10,71,57.144,5091687,70,2,1:07.762,229.402,1
25131,1060,815,9,11,3,6,6,6,8,71,57.915,5092458,55,5,1:08.192,227.956,1
25132,1060,817,1,3,13,7,7,7,6,71,+1:00.395,5094938,56,14,1:08.820,225.876,1
25133,1060,844,6,16,12,8,8,8,4,71,+1:01.195,5095738,55,13,1:08.698,226.277,1
25134,1060,842,213,10,6,9,9,9,2,71,+1:01.844,5096387,54,4,1:08.146,228.110,1
25135,1060,4,214,14,14,10,10,10,1,70,\N,\N,70,7,1:08.405,227.246,11
25136,1060,847,3,63,8,11,11,11,0,70,\N,\N,56,16,1:08.900,225.613,11
25137,1060,852,213,22,7,12,12,12,0,70,\N,\N,54,9,1:08.455,227.080,11
25138,1060,840,117,18,9,13,13,13,0,70,\N,\N,54,12,1:08.659,226.405,11
25139,1060,841,51,99,15,14,14,14,0,70,\N,\N,55,17,1:09.042,225.149,11
25140,1060,8,51,7,16,15,15,15,0,70,\N,\N,69,15,1:08.874,225.699,11
25141,1060,849,3,6,18,16,16,16,0,70,\N,\N,62,11,1:08.520,226.865,11
25142,1060,20,117,5,11,17,17,17,0,69,\N,\N,51,8,1:08.420,227.196,4
25143,1060,854,210,47,19,18,18,18,0,69,\N,\N,56,18,1:09.394,224.007,12
25144,1060,853,210,9,20,19,19,19,0,69,\N,\N,49,19,1:09.757,222.842,12
25145,1060,839,214,31,17,\N,R,20,0,0,\N,\N,\N,0,\N,\N,4
