raceId,driverId,lap,position,time,milliseconds,
1057,844,1,1,1:52.162,112162,
1057,844,2,2,1:49.672,109672,
1057,844,3,2,1:48.746,108746,
1057,844,4,2,1:47.600,107600,
1057,844,5,2,1:47.260,107260,
1057,844,6,3,1:47.963,107963,
1057,844,7,4,1:48.611,108611,
1057,844,8,4,1:48.721,108721,
1057,844,9,6,1:51.823,111823,
1057,844,10,10,2:03.438,123438,
1057,844,11,9,1:48.105,108105,
1057,844,12,7,1:49.086,109086,
1057,844,13,7,1:48.039,108039,
1057,844,14,7,1:47.674,107674,
1057,844,15,7,1:47.272,107272,
1057,844,16,7,1:47.240,107240,
1057,844,17,7,1:47.574,107574,
1057,844,18,7,1:47.204,107204,
1057,844,19,6,1:47.286,107286,
1057,844,20,6,1:47.182,107182,
1057,844,21,6,1:47.258,107258,
1057,844,22,6,1:46.512,106512,
1057,844,23,6,1:46.358,106358,
1057,844,24,6,1:46.492,106492,
1057,844,25,6,1:46.641,106641,
1057,844,26,6,1:46.387,106387,
1057,844,27,6,1:46.669,106669,
1057,844,28,6,1:46.516,106516,
1057,844,29,6,1:46.178,106178,
1057,844,30,5,1:46.478,106478,
1057,844,31,5,2:19.518,139518,
1057,844,32,5,2:51.722,171722,
1057,844,33,5,2:53.539,173539,
1057,844,34,5,2:50.506,170506,
1057,844,35,5,3:00.559,180559,
1057,844,36,6,1:52.944,112944,
1057,844,37,6,1:47.663,107663,
1057,844,38,6,1:46.886,106886,
1057,844,39,6,1:45.805,105805,
1057,844,40,6,1:45.753,105753,
1057,844,41,6,1:45.732,105732,
1057,844,42,6,1:45.712,105712,
1057,844,43,6,1:45.594,105594,
1057,844,44,6,1:45.780,105780,
1057,844,45,6,1:45.538,105538,
1057,844,46,5,1:45.382,105382,
1057,844,47,5,2:13.338,133338,
1057,844,48,5,3:05.391,185391,
1057,844,49,5,36:27.115,2187115,
1057,844,50,3,2:30.922,150922,
1057,844,51,4,1:46.692,106692,
1057,1,1,2,1:52.533,112533,
1057,1,2,1,1:49.236,109236,
1057,1,3,1,1:48.060,108060,
1057,1,4,1,1:47.462,107462,
1057,1,5,1,1:47.642,107642,
1057,1,6,1,1:47.394,107394,
1057,1,7,1,1:47.056,107056,
1057,1,8,1,1:47.084,107084,
1057,1,9,1,1:47.399,107399,
1057,1,10,1,1:47.441,107441,
1057,1,11,3,1:51.218,111218,
1057,1,12,4,2:06.683,126683,
1057,1,13,4,1:46.600,106600,
1057,1,14,4,1:46.670,106670,
1057,1,15,4,1:46.913,106913,
1057,1,16,4,1:45.675,105675,
1057,1,17,4,1:46.145,106145,
1057,1,18,4,1:45.763,105763,
1057,1,19,3,1:46.229,106229,
1057,1,20,3,1:45.910,105910,
1057,1,21,3,1:45.814,105814,
1057,1,22,3,1:46.116,106116,
1057,1,23,3,1:46.379,106379,
1057,1,24,3,1:46.283,106283,
1057,1,25,3,1:45.620,105620,
1057,1,26,3,1:46.044,106044,
1057,1,27,3,1:46.346,106346,
1057,1,28,3,1:46.101,106101,
1057,1,29,3,1:45.846,105846,
1057,1,30,3,1:45.592,105592,
1057,1,31,3,2:18.410,138410,
1057,1,32,3,3:04.722,184722,
1057,1,33,3,2:55.025,175025,
1057,1,34,3,2:52.744,172744,
1057,1,35,3,3:03.419,183419,
1057,1,36,3,1:50.101,110101,
1057,1,37,3,1:46.514,106514,
1057,1,38,3,1:45.215,105215,
1057,1,39,3,1:46.020,106020,
1057,1,40,3,1:45.019,105019,
1057,1,41,3,1:45.027,105027,
1057,1,42,3,1:45.258,105258,
1057,1,43,3,1:44.769,104769,
1057,1,44,3,1:44.779,104779,
1057,1,45,3,1:44.857,104857,
1057,1,46,2,1:45.104,105104,
1057,1,47,2,2:15.406,135406,
1057,1,48,2,3:07.588,187588,
1057,1,49,2,36:24.844,2184844,
1057,1,50,16,2:48.918,168918,
1057,1,51,16,1:51.085,111085,
1057,830,1,3,1:53.236,113236,
1057,830,2,3,1:49.550,109550,
1057,830,3,3,1:48.040,108040,
1057,830,4,3,1:47.826,107826,
1057,830,5,3,1:47.107,107107,
1057,830,6,2,1:47.548,107548,
1057,830,7,2,1:47.218,107218,
1057,830,8,2,1:47.149,107149,
1057,830,9,2,1:47.125,107125,
1057,830,10,2,1:47.295,107295,
1057,830,11,1,1:47.327,107327,
1057,830,12,2,1:50.389,110389,
1057,830,13,3,2:02.951,122951,
1057,830,14,2,1:46.192,106192,
1057,830,15,2,1:46.385,106385,
1057,830,16,2,1:45.741,105741,
1057,830,17,2,1:45.920,105920,
1057,830,18,1,1:46.101,106101,
1057,830,19,1,1:45.897,105897,
1057,830,20,1,1:45.966,105966,
1057,830,21,1,1:45.705,105705,
1057,830,22,1,1:45.775,105775,
1057,830,23,1,1:45.676,105676,
1057,830,24,1,1:45.456,105456,
1057,830,25,1,1:45.415,105415,
1057,830,26,1,1:45.352,105352,
1057,830,27,1,1:45.452,105452,
1057,830,28,1,1:45.550,105550,
1057,830,29,1,1:45.394,105394,
1057,830,30,1,1:45.653,105653,
