resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
24966,1052,1,131,44,2,1,1,1,25,56,1:32:03.897,5523897,44,4,1:34.015,207.235,1
24967,1052,830,9,33,1,2,2,2,18,56,0.745,5524642,41,2,1:33.228,208.984,1
24968,1052,822,131,77,3,3,3,3,16,56,37.383,5561280,56,1,1:32.090,211.566,1
24969,1052,846,1,4,7,4,4,4,12,56,46.466,5570363,38,6,1:34.396,206.398,1
24970,1052,815,9,11,0,5,5,5,10,56,52.047,5575944,44,3,1:33.970,207.334,1
24971,1052,844,6,16,4,6,6,6,8,56,59.090,5582987,39,11,1:34.988,205.112,1
24972,1052,817,1,3,6,7,7,7,6,56,66.004,5589901,36,10,1:34.932,205.233,1
24973,1052,832,6,55,8,8,8,8,4,56,67.100,5590997,48,7,1:34.509,206.151,1
24974,1052,852,213,22,13,9,9,9,2,56,85.692,5609589,38,8,1:34.761,205.603,1
24975,1052,840,117,18,10,10,10,10,1,56,86.713,5610610,31,9,1:34.865,205.378,1
24976,1052,8,51,7,14,11,11,11,0,56,88.864,5612761,45,14,1:35.192,204.672,1
24977,1052,841,51,99,12,12,12,12,0,55,\N,\N,32,13,1:35.122,204.823,11
24978,1052,839,214,31,16,13,13,13,0,55,\N,\N,33,15,1:35.250,204.548,11
24979,1052,847,3,63,15,14,14,14,0,55,\N,\N,40,12,1:35.036,205.008,11
24980,1052,20,117,5,20,15,15,15,0,55,\N,\N,26,16,1:35.566,203.871,11
24981,1052,854,210,47,18,16,16,16,0,55,\N,\N,38,18,1:36.134,202.667,11
24982,1052,842,213,10,5,17,17,17,0,52,\N,\N,48,5,1:34.090,207.069,31
24983,1052,849,3,6,17,18,18,18,0,51,\N,\N,16,19,1:36.602,201.685,31
24984,1052,4,214,14,9,\N,R,19,0,32,\N,\N,31,17,1:36.063,202.816,23
24985,1052,853,210,9,19,\N,R,20,0,0,\N,\N,\N,0,\N,\N,3
