raceId,driverId,lap,position,time,milliseconds,
1071,830,1,1,1:18.399,78399,
1071,830,2,1,1:14.680,74680,
1071,830,3,1,1:14.471,74471,
1071,830,4,1,1:14.713,74713,
1071,830,5,1,1:14.660,74660,
1071,830,6,1,1:27.488,87488,
1071,830,7,1,1:59.850,119850,
1071,830,8,1,2:13.610,133610,
1071,830,9,1,2:29.633,149633,
1071,830,10,1,1:14.805,74805,
1071,830,11,1,1:14.577,74577,
1071,830,12,1,1:33.704,93704,
1071,830,13,1,1:40.040,100040,
1071,830,14,1,1:24.966,84966,
1071,830,15,1,1:14.364,74364,
1071,830,16,1,1:14.314,74314,
1071,830,17,1,1:14.324,74324,
1071,830,18,1,1:14.516,74516,
1071,830,19,1,1:14.468,74468,
1071,830,20,1,1:14.383,74383,
1071,830,21,1,1:14.744,74744,
1071,830,22,1,1:14.580,74580,
1071,830,23,1,1:14.774,74774,
1071,830,24,1,1:14.842,74842,
1071,830,25,1,1:15.061,75061,
1071,830,26,1,1:14.911,74911,
1071,830,27,1,1:18.696,78696,
1071,830,28,3,1:30.413,90413,
1071,830,29,2,1:13.501,73501,
1071,830,30,2,1:24.575,84575,
1071,830,31,1,1:19.408,79408,
1071,830,32,1,1:13.155,73155,
1071,830,33,1,1:13.140,73140,
1071,830,34,1,1:13.391,73391,
1071,830,35,1,1:13.434,73434,
1071,830,36,1,1:13.578,73578,
1071,830,37,1,1:13.838,73838,
1071,830,38,1,1:13.475,73475,
1071,830,39,1,1:13.693,73693,
1071,830,40,2,1:17.355,77355,
1071,830,41,4,1:29.979,89979,
1071,830,42,3,1:12.959,72959,
1071,830,43,2,1:13.261,73261,
1071,830,44,1,1:12.963,72963,
1071,830,45,1,1:12.977,72977,
1071,830,46,1,1:12.714,72714,
1071,830,47,1,1:12.486,72486,
1071,830,48,1,1:14.042,74042,
1071,830,49,1,1:12.833,72833,
1071,830,50,1,1:12.839,72839,
1071,830,51,1,1:12.668,72668,
1071,830,52,1,1:12.774,72774,
1071,830,53,1,1:12.686,72686,
1071,830,54,1,1:12.502,72502,
1071,830,55,1,1:12.491,72491,
1071,830,56,1,1:12.552,72552,
1071,830,57,1,1:12.747,72747,
1071,830,58,1,1:13.414,73414,
1071,830,59,2,1:14.068,74068,
1071,830,60,2,1:13.334,73334,
1071,830,61,2,1:13.365,73365,
1071,830,62,2,1:13.796,73796,
1071,830,63,2,1:13.482,73482,
1071,830,64,2,1:13.837,73837,
1071,830,65,2,1:13.659,73659,
1071,830,66,2,1:14.285,74285,
1071,830,67,2,1:13.958,73958,
1071,830,68,2,1:14.425,74425,
1071,830,69,2,1:14.389,74389,
1071,830,70,2,1:14.407,74407,
1071,830,71,2,1:14.926,74926,
1071,815,1,2,1:19.651,79651,
1071,815,2,2,1:14.726,74726,
1071,815,3,2,1:14.626,74626,
1071,815,4,2,1:14.689,74689,
1071,815,5,2,1:14.595,74595,
1071,815,6,2,1:28.670,88670,
1071,815,7,2,1:59.107,119107,
1071,815,8,2,2:13.453,133453,
1071,815,9,2,2:28.325,148325,
1071,815,10,2,1:15.792,75792,
1071,815,11,2,1:14.621,74621,
1071,815,12,2,1:34.978,94978,
1071,815,13,2,1:39.958,99958,
1071,815,14,2,1:23.998,83998,
1071,815,15,2,1:14.479,74479,
1071,815,16,2,1:14.450,74450,
1071,815,17,2,1:14.937,74937,
1071,815,18,2,1:15.853,75853,
1071,815,19,3,1:16.024,76024,
1071,815,20,3,1:15.248,75248,
1071,815,21,3,1:14.972,74972,
1071,815,22,3,1:14.896,74896,
1071,815,23,3,1:14.794,74794,
1071,815,24,3,1:15.036,75036,
1071,815,25,3,1:15.297,75297,
1071,815,26,2,1:15.135,75135,
1071,815,27,2,1:15.272,75272,
1071,815,28,2,1:19.188,79188,
1071,815,29,5,1:31.989,91989,
1071,815,30,5,1:28.280,88280,
1071,815,31,4,1:13.698,73698,
1071,815,32,4,1:13.566,73566,
1071,815,33,4,1:13.536,73536,
1071,815,34,4,1:13.707,73707,
1071,815,35,4,1:13.672,73672,
1071,815,36,4,1:13.517,73517,
1071,815,37,4,1:13.601,73601,
1071,815,38,4,1:13.485,73485,
1071,815,39,4,1:13.582,73582,
1071,815,40,4,1:13.499,73499,
1071,815,41,3,1:13.886,73886,
1071,815,42,2,1:17.410,77410,
1071,815,43,5,1:29.500,89500,
1071,815,44,5,1:12.376,72376,
1071,815,45,4,1:12.838,72838,
1071,815,46,4,1:13.669,73669,
1071,815,47,4,1:13.092,73092,
1071,815,48,4,1:13.395,73395,
1071,815,49,4,1:13.659,73659,
1071,815,50,4,1:13.147,73147,
1071,815,51,4,1:13.041,73041,
1071,815,52,4,1:12.934,72934,
1071,815,53,4,1:12.960,72960,
1071,815,54,4,1:12.898,72898,
1071,815,55,4,1:12.915,72915,
1071,815,56,4,1:13.189,73189,
1071,815,57,4,1:13.336,73336,
1071,815,58,4,1:13.468,73468,
1071,815,59,4,1:13.250,73250,
1071,815,60,4,1:13.052,73052,
1071,815,61,4,1:13.040,73040,
1071,815,62,4,1:13.193,73193,
1071,815,63,4,1:12.912,72912,
1071,815,64,4,1:13.294,73294,
1071,815,65,4,1:13.972,73972,
1071,815,66,4,1:13.424,73424,
1071,815,67,4,1:13.319,73319,
1071,815,68,4,1:13.486,73486,
1071,815,69,4,1:18.016,78016,
1071,815,70,4,1:34.208,94208,
1071,815,71,4,1:11.010,71010,
1071,822,1,3,1:20.541,80541,
1071,822,2,3,1:15.297,75297,
1071,822,3,3,1:14.954,74954,
1071,822,4,3,1:14.837,74837,
1071,822,5,4,1:17.488,77488,
1071,822,6,4,1:28.275,88275,
1071,822,7,4,1:58.619,118619,
1071,822,8,4,2:12.300,132300,
1071,822,9,4,2:25.925,145925,
1071,822,10,4,1:16.919,76919,
1071,822,11,4,1:15.000,75000,
1071,822,12,4,1:34.450,94450,
1071,822,13,4,1:40.026,100026,
1071,822,14,4,1:24.224,84224,
1071,822,15,4,1:14.489,74489,
1071,822,16,4,1:14.322,74322,
1071,822,17,4,1:15.097,75097,
1071,822,18,4,1:15.231,75231,
1071,822,19,4,1:15.404,75404,
1071,822,20,4,1:15.670,75670,
1071,822,21,4,1:15.067,75067,
1071,822,22,4,1:15.409,75409,
1071,822,23,4,1:15.139,75139,
1071,822,24,4,1:15.021,75021,
1071,822,25,4,1:15.019,75019,
1071,822,26,4,1:15.146,75146,
1071,822,27,3,1:15.242,75242,
1071,822,28,1,1:15.334,75334,
1071,822,29,1,1:14.672,74672,
1071,822,30,1,1:27.036,87036,
1071,822,31,3,1:31.638,91638,
1071,822,32,3,1:13.002,73002,
1071,822,33,3,1:13.583,73583,
1071,822,34,3,1:13.085,73085,
1071,822,35,3,1:13.358,73358,
1071,822,36,3,1:13.553,73553,
1071,822,37,3,1:13.511,73511,
1071,822,38,3,1:13.530,73530,
1071,822,39,3,1:13.584,73584,
1071,822,40,3,1:13.661,73661,
1071,822,41,2,1:17.563,77563,
1071,822,42,4,1:30.597,90597,
1071,822,43,3,1:12.862,72862,
1071,822,44,3,1:12.966,72966,
1071,822,45,3,1:13.201,73201,
1071,822,46,3,1:13.063,73063,
1071,822,47,3,1:13.177,73177,
1071,822,48,3,1:13.441,73441,
1071,822,49,3,1:12.526,72526,
1071,822,50,3,1:13.410,73410,
1071,822,51,3,1:13.214,73214,
1071,822,52,3,1:13.074,73074,
1071,822,53,3,1:12.967,72967,
1071,822,54,3,1:13.151,73151,
1071,822,55,3,1:12.955,72955,
1071,822,56,3,1:13.421,73421,
1071,822,57,3,1:12.972,72972,
1071,822,58,3,1:12.931,72931,
1071,822,59,3,1:13.285,73285,
1071,822,60,3,1:12.830,72830,
1071,822,61,3,1:12.888,72888,
1071,822,62,3,1:13.585,73585,
1071,822,63,3,1:13.383,73383,
1071,822,64,3,1:14.047,74047,
1071,822,65,3,1:13.346,73346,
1071,822,66,3,1:13.622,73622,
1071,822,67,3,1:13.427,73427,
1071,822,68,3,1:13.877,73877,
1071,822,69,3,1:13.163,73163,
1071,822,70,3,1:13.371,73371,
1071,822,71,3,1:13.454,73454,
1071,844,1,4,1:21.519,81519,
1071,844,2,4,1:15.906,75906,
1071,844,3,5,1:15.751,75751,
1071,844,4,5,1:16.426,76426,
1071,844,5,5,1:15.764,75764,
1071,844,6,5,1:27.896,87896,
1071,844,7,5,1:58.517,118517,
1071,844,8,5,2:12.431,132431,
1071,844,9,5,2:24.186,144186,
1071,844,10,5,1:17.650,77650,
1071,844,11,5,1:15.741,75741,
1071,844,12,5,1:35.677,95677,
1071,844,13,5,1:39.442,99442,
1071,844,14,5,1:23.844,83844,
1071,844,15,5,1:15.172,75172,
1071,844,16,5,1:15.159,75159,
1071,844,17,5,1:15.164,75164,
1071,844,18,5,1:15.439,75439,
1071,844,19,5,1:15.356,75356,
1071,844,20,5,1:15.679,75679,
1071,844,21,5,1:15.448,75448,
1071,844,22,5,1:15.447,75447,
1071,844,23,5,1:15.289,75289,
1071,844,24,5,1:15.592,75592,
1071,844,25,5,1:15.695,75695,
1071,844,26,5,1:15.465,75465,
1071,844,27,4,1:19.370,79370,
1071,844,28,9,1:31.496,91496,
1071,844,29,8,1:14.688,74688,
1071,844,30,8,1:30.364,90364,
1071,844,31,6,1:14.957,74957,
1071,844,32,5,1:14.497,74497,
1071,844,33,5,1:14.620,74620,
1071,844,34,5,1:14.328,74328,
1071,844,35,5,1:14.062,74062,
1071,844,36,5,1:14.006,74006,
