resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25326,1071,1,131,44,10,1,1,1,25,71,1:32:22.851,5542851,46,2,1:11.982,215.503,1
25327,1071,830,9,33,2,2,2,2,18,71,10.496,5553347,47,3,1:12.486,214.005,1
25328,1071,822,131,77,1,3,3,3,15,71,13.576,5556427,49,4,1:12.526,213.887,1
25329,1071,815,9,11,4,4,4,4,13,71,39.940,5582791,71,1,1:11.010,218.453,1
25330,1071,844,6,16,6,5,5,5,10,71,49.517,5592368,61,7,1:12.822,213.018,1
25331,1071,832,6,55,3,6,6,6,8,71,51.820,5594671,63,6,1:12.710,213.346,1
25332,1071,842,213,10,7,7,7,7,6,70,\N,\N,53,8,1:13.227,211.839,11
25333,1071,839,214,31,8,8,8,8,4,70,\N,\N,48,16,1:14.430,208.415,11
25334,1071,4,214,14,12,9,9,9,2,70,\N,\N,37,12,1:13.922,209.848,11
25335,1071,846,1,4,5,10,10,10,1,70,\N,\N,53,10,1:13.761,210.306,11
25336,1071,20,117,5,9,11,11,11,0,70,\N,\N,69,9,1:13.634,210.668,11
25337,1071,8,51,7,0,12,12,12,0,70,\N,\N,54,5,1:12.621,213.607,11
25338,1071,847,3,63,17,13,13,13,0,70,\N,\N,45,15,1:14.355,208.626,11
25339,1071,841,51,99,13,14,14,14,0,70,\N,\N,44,14,1:14.227,208.985,11
25340,1071,852,213,22,15,15,15,15,0,70,\N,\N,62,13,1:14.204,209.050,11
25341,1071,849,3,6,16,16,16,16,0,70,\N,\N,57,18,1:14.616,207.896,11
25342,1071,853,210,9,19,17,17,17,0,69,\N,\N,36,19,1:14.954,206.958,12
25343,1071,854,210,47,18,18,18,18,0,69,\N,\N,66,11,1:13.793,210.215,12
25344,1071,817,1,3,11,\N,R,19,0,49,\N,\N,40,17,1:14.443,208.379,75
25345,1071,840,117,18,14,\N,R,20,0,47,\N,\N,25,20,1:15.344,205.887,4
