raceId,driverId,lap,position,time,milliseconds,
1061,844,1,1,2:02.700,122700,
1061,844,2,1,2:39.045,159045,
1061,844,3,1,37:07.083,2227083,
1061,844,4,1,2:40.134,160134,
1061,844,5,1,1:32.805,92805,
1061,844,6,1,1:32.910,92910,
1061,844,7,1,1:33.003,93003,
1061,844,8,1,1:33.105,93105,
1061,844,9,1,1:32.970,92970,
1061,844,10,1,1:33.232,93232,
1061,844,11,1,1:32.841,92841,
1061,844,12,1,1:32.939,92939,
1061,844,13,1,1:32.969,92969,
1061,844,14,1,1:32.744,92744,
1061,844,15,1,1:33.282,93282,
1061,844,16,1,1:32.623,92623,
1061,844,17,1,1:32.475,92475,
1061,844,18,1,1:32.296,92296,
1061,844,19,1,1:31.985,91985,
1061,844,20,1,1:32.128,92128,
1061,844,21,1,1:31.974,91974,
1061,844,22,1,1:32.223,92223,
1061,844,23,1,1:32.259,92259,
1061,844,24,1,1:32.296,92296,
1061,844,25,1,1:32.048,92048,
1061,844,26,1,1:31.993,91993,
1061,844,27,1,1:32.082,92082,
1061,844,28,1,1:31.958,91958,
1061,844,29,1,1:31.847,91847,
1061,844,30,1,1:51.720,111720,
1061,844,31,1,1:31.552,91552,
1061,844,32,1,1:31.541,91541,
1061,844,33,1,1:31.716,91716,
1061,844,34,1,1:31.978,91978,
1061,844,35,1,1:31.448,91448,
1061,844,36,1,1:31.384,91384,
1061,844,37,1,1:31.500,91500,
1061,844,38,1,1:31.542,91542,
1061,844,39,1,1:31.599,91599,
1061,844,40,1,1:31.425,91425,
1061,844,41,1,1:31.539,91539,
1061,844,42,1,1:31.271,91271,
1061,844,43,1,1:30.917,90917,
1061,844,44,1,1:30.846,90846,
1061,844,45,1,1:30.569,90569,
1061,844,46,1,1:30.724,90724,
1061,844,47,1,1:31.228,91228,
1061,844,48,1,1:31.291,91291,
1061,844,49,1,1:31.149,91149,
1061,844,50,2,1:32.956,92956,
1061,844,51,2,1:32.454,92454,
1061,844,52,2,1:32.857,92857,
1061,1,1,2,2:05.599,125599,
1061,1,2,2,2:38.142,158142,
1061,1,3,2,37:09.155,2229155,
1061,1,4,2,2:37.266,157266,
1061,1,5,2,1:33.049,93049,
1061,1,6,2,1:33.113,93113,
1061,1,7,2,1:32.738,92738,
1061,1,8,2,1:32.928,92928,
1061,1,9,2,1:33.013,93013,
1061,1,10,2,1:33.458,93458,
1061,1,11,2,1:32.950,92950,
1061,1,12,2,1:32.943,92943,
1061,1,13,2,1:33.158,93158,
1061,1,14,2,1:32.749,92749,
1061,1,15,2,1:32.713,92713,
1061,1,16,2,1:32.473,92473,
1061,1,17,2,1:32.291,92291,
1061,1,18,2,1:32.548,92548,
1061,1,19,2,1:32.597,92597,
1061,1,20,2,1:32.076,92076,
1061,1,21,2,1:32.297,92297,
1061,1,22,2,1:32.189,92189,
1061,1,23,2,1:32.311,92311,
1061,1,24,2,1:32.686,92686,
1061,1,25,2,1:32.115,92115,
1061,1,26,2,1:31.854,91854,
1061,1,27,2,1:32.852,92852,
1061,1,28,5,2:03.392,123392,
1061,1,29,4,1:30.762,90762,
1061,1,30,4,1:31.113,91113,
1061,1,31,3,1:31.257,91257,
1061,1,32,3,1:32.488,92488,
1061,1,33,3,1:32.038,92038,
1061,1,34,3,1:31.219,91219,
1061,1,35,3,1:30.817,90817,
1061,1,36,3,1:31.025,91025,
1061,1,37,3,1:30.807,90807,
1061,1,38,3,1:30.594,90594,
1061,1,39,3,1:30.859,90859,
1061,1,40,2,1:30.443,90443,
1061,1,41,2,1:30.468,90468,
1061,1,42,2,1:30.160,90160,
1061,1,43,2,1:30.258,90258,
1061,1,44,2,1:29.801,89801,
1061,1,45,2,1:29.699,89699,
1061,1,46,2,1:29.701,89701,
1061,1,47,2,1:30.520,90520,
1061,1,48,2,1:30.503,90503,
1061,1,49,2,1:30.525,90525,
1061,1,50,1,1:30.900,90900,
1061,1,51,1,1:31.037,91037,
1061,1,52,1,1:31.635,91635,
1061,822,1,3,2:06.173,126173,
1061,822,2,3,2:39.641,159641,
1061,822,3,3,37:09.294,2229294,
1061,822,4,4,2:36.914,156914,
1061,822,5,4,1:33.727,93727,
1061,822,6,4,1:33.577,93577,
1061,822,7,4,1:33.543,93543,
1061,822,8,4,1:33.571,93571,
1061,822,9,4,1:33.096,93096,
1061,822,10,4,1:33.312,93312,
1061,822,11,4,1:33.397,93397,
1061,822,12,4,1:33.423,93423,
1061,822,13,4,1:33.380,93380,
1061,822,14,4,1:33.340,93340,
1061,822,15,4,1:32.694,92694,
1061,822,16,4,1:32.415,92415,
1061,822,17,4,1:32.454,92454,
1061,822,18,4,1:32.543,92543,
1061,822,19,4,1:32.639,92639,
1061,822,20,4,1:32.409,92409,
1061,822,21,4,1:32.488,92488,
1061,822,22,3,1:31.869,91869,
1061,822,23,4,1:52.484,112484,
1061,822,24,4,1:31.988,91988,
1061,822,25,4,1:31.415,91415,
1061,822,26,4,1:31.520,91520,
1061,822,27,4,1:31.804,91804,
1061,822,28,3,1:31.651,91651,
1061,822,29,2,1:32.160,92160,
1061,822,30,2,1:32.480,92480,
1061,822,31,2,1:32.683,92683,
1061,822,32,2,1:32.191,92191,
1061,822,33,2,1:31.720,91720,
1061,822,34,2,1:31.799,91799,
1061,822,35,2,1:31.252,91252,
1061,822,36,2,1:31.435,91435,
1061,822,37,2,1:31.094,91094,
1061,822,38,2,1:31.066,91066,
1061,822,39,2,1:31.146,91146,
1061,822,40,3,1:33.278,93278,
1061,822,41,3,1:31.445,91445,
1061,822,42,3,1:31.084,91084,
1061,822,43,3,1:31.161,91161,
1061,822,44,3,1:30.688,90688,
1061,822,45,3,1:30.524,90524,
1061,822,46,3,1:30.641,90641,
1061,822,47,3,1:30.872,90872,
1061,822,48,3,1:31.181,91181,
1061,822,49,3,1:31.473,91473,
1061,822,50,3,1:32.153,92153,
1061,822,51,3,1:31.698,91698,
1061,822,52,3,1:32.424,92424,
1061,846,1,4,2:08.698,128698,
1061,846,2,4,2:38.631,158631,
1061,846,3,4,37:11.598,2231598,
1061,846,4,3,2:32.439,152439,
1061,846,5,3,1:33.318,93318,
1061,846,6,3,1:33.428,93428,
1061,846,7,3,1:33.556,93556,
1061,846,8,3,1:33.402,93402,
1061,846,9,3,1:33.373,93373,
1061,846,10,3,1:33.011,93011,
1061,846,11,3,1:33.286,93286,
1061,846,12,3,1:33.295,93295,
1061,846,13,3,1:33.193,93193,
1061,846,14,3,1:33.165,93165,
1061,846,15,3,1:32.827,92827,
1061,846,16,3,1:32.778,92778,
1061,846,17,3,1:32.586,92586,
1061,846,18,3,1:32.520,92520,
1061,846,19,3,1:32.586,92586,
1061,846,20,3,1:32.293,92293,
1061,846,21,3,1:31.418,91418,
1061,846,22,6,1:55.033,115033,
1061,846,23,5,1:33.509,93509,
1061,846,24,5,1:32.830,92830,
1061,846,25,5,1:32.274,92274,
1061,846,26,5,1:32.040,92040,
1061,846,27,5,1:32.047,92047,
1061,846,28,4,1:32.096,92096,
1061,846,29,3,1:32.217,92217,
1061,846,30,3,1:32.073,92073,
1061,846,31,4,1:33.668,93668,
1061,846,32,4,1:33.174,93174,
1061,846,33,4,1:32.410,92410,
1061,846,34,4,1:32.139,92139,
1061,846,35,4,1:31.940,91940,
1061,846,36,4,1:31.945,91945,
1061,846,37,4,1:31.848,91848,
1061,846,38,4,1:31.823,91823,
1061,846,39,4,1:32.061,92061,
1061,846,40,4,1:31.624,91624,
1061,846,41,4,1:31.800,91800,
1061,846,42,4,1:31.572,91572,
1061,846,43,4,1:31.762,91762,
1061,846,44,4,1:31.420,91420,
1061,846,45,4,1:31.666,91666,
1061,846,46,4,1:31.836,91836,
1061,846,47,4,1:31.900,91900,
1061,846,48,4,1:31.750,91750,
1061,846,49,4,1:32.868,92868,
1061,846,50,4,1:32.679,92679,
1061,846,51,4,1:32.208,92208,
1061,846,52,4,1:32.244,92244,
1061,817,1,5,2:09.397,129397,
1061,817,2,5,2:41.042,161042,
1061,817,3,5,37:11.723,2231723,
1061,817,4,5,2:30.939,150939,
1061,817,5,5,1:34.142,94142,
1061,817,6,5,1:34.023,94023,
1061,817,7,5,1:33.820,93820,
1061,817,8,5,1:33.890,93890,
1061,817,9,5,1:33.710,93710,
1061,817,10,5,1:33.638,93638,
1061,817,11,5,1:33.842,93842,
1061,817,12,5,1:33.817,93817,
1061,817,13,5,1:33.956,93956,
1061,817,14,5,1:33.903,93903,
1061,817,15,5,1:33.757,93757,
1061,817,16,5,1:33.497,93497,
1061,817,17,5,1:33.603,93603,
1061,817,18,5,1:33.627,93627,
1061,817,19,5,1:33.389,93389,
1061,817,20,5,1:32.164,92164,
1061,817,21,9,1:53.326,113326,
1061,817,22,9,1:32.711,92711,
1061,817,23,9,1:32.212,92212,
1061,817,24,8,1:32.670,92670,
1061,817,25,7,1:32.637,92637,
1061,817,26,7,1:32.569,92569,
1061,817,27,7,1:32.923,92923,
1061,817,28,7,1:33.434,93434,
1061,817,29,5,1:33.169,93169,
1061,817,30,5,1:32.955,92955,
1061,817,31,5,1:32.420,92420,
1061,817,32,5,1:32.569,92569,
1061,817,33,5,1:32.471,92471,
1061,817,34,5,1:32.557,92557,
1061,817,35,5,1:32.263,92263,
1061,817,36,5,1:32.570,92570,
1061,817,37,5,1:32.595,92595,
1061,817,38,5,1:32.748,92748,
1061,817,39,5,1:32.447,92447,
1061,817,40,5,1:32.151,92151,
1061,817,41,5,1:31.933,91933,
1061,817,42,5,1:31.879,91879,
1061,817,43,5,1:31.784,91784,
1061,817,44,5,1:31.825,91825,
1061,817,45,5,1:31.720,91720,
1061,817,46,5,1:31.703,91703,
1061,817,47,5,1:31.946,91946,
1061,817,48,5,1:31.819,91819,
1061,817,49,5,1:31.774,91774,
1061,817,50,5,1:31.642,91642,
1061,817,51,5,1:31.284,91284,
1061,817,52,5,1:31.323,91323,
1061,20,1,6,2:10.610,130610,
1061,20,2,6,2:43.397,163397,
1061,20,3,6,37:10.588,2230588,
1061,20,4,19,2:42.978,162978,
1061,20,5,19,1:35.272,95272,
1061,20,6,19,1:34.602,94602,
1061,20,7,18,1:35.270,95270,
1061,20,8,17,1:34.986,94986,
1061,20,9,17,1:34.370,94370,
1061,20,10,17,1:34.437,94437,
1061,20,11,17,1:34.548,94548,
1061,20,12,17,1:34.505,94505,
1061,20,13,17,1:34.732,94732,
1061,20,14,17,1:34.351,94351,
1061,20,15,17,1:34.615,94615,
1061,20,16,17,1:34.685,94685,
1061,20,17,17,1:34.168,94168,
1061,20,18,17,1:33.837,93837,
1061,20,19,17,1:53.237,113237,
1061,20,20,17,1:33.442,93442,
1061,20,21,17,1:33.436,93436,
1061,20,22,17,1:33.203,93203,
1061,20,23,17,1:33.325,93325,
1061,20,24,17,1:33.749,93749,
1061,20,25,17,1:33.430,93430,
1061,20,26,17,1:33.454,93454,
1061,20,27,17,1:33.158,93158,
1061,20,28,17,1:33.407,93407,
1061,20,29,17,1:33.709,93709,
1061,20,30,17,1:33.713,93713,
1061,20,31,17,1:33.590,93590,
1061,20,32,17,1:33.502,93502,
1061,20,33,17,1:33.084,93084,
1061,20,34,17,1:33.509,93509,
1061,20,35,17,1:33.059,93059,
1061,20,36,17,1:33.545,93545,
1061,20,37,17,1:33.561,93561,
1061,20,38,17,1:33.064,93064,
1061,20,39,17,1:33.721,93721,
1061,20,40,17,1:41.335,101335,
1061,4,1,7,2:12.307,132307,
1061,4,2,7,2:43.560,163560,
1061,4,3,7,37:13.466,2233466,
1061,4,4,6,2:24.593,144593,
1061,4,5,7,1:35.626,95626,
1061,4,6,7,1:34.496,94496,
1061,4,7,7,1:34.993,94993,
1061,4,8,7,1:34.889,94889,
1061,4,9,7,1:34.701,94701,
1061,4,10,7,1:34.211,94211,
1061,4,11,7,1:34.430,94430,
1061,4,12,7,1:34.577,94577,
1061,4,13,7,1:33.869,93869,
1061,4,14,7,1:33.677,93677,
1061,4,15,7,1:33.553,93553,
1061,4,16,7,1:33.434,93434,
1061,4,17,7,1:33.261,93261,
1061,4,18,7,1:33.396,93396,
1061,4,19,7,1:33.180,93180,
1061,4,20,7,1:33.097,93097,
1061,4,21,6,1:32.950,92950,
1061,4,22,5,1:33.179,93179,
1061,4,23,6,1:35.154,95154,
1061,4,24,6,1:33.490,93490,
1061,4,25,9,1:53.530,113530,
1061,4,26,9,1:33.077,93077,
1061,4,27,9,1:32.901,92901,
1061,4,28,9,1:33.621,93621,
1061,4,29,8,1:33.588,93588,
1061,4,30,8,1:33.502,93502,
1061,4,31,7,1:33.617,93617,
1061,4,32,7,1:33.367,93367,
1061,4,33,7,1:33.270,93270,
1061,4,34,7,1:33.356,93356,
1061,4,35,7,1:33.153,93153,
1061,4,36,7,1:33.208,93208,
1061,4,37,7,1:33.309,93309,
1061,4,38,7,1:33.070,93070,
1061,4,39,7,1:33.166,93166,
1061,4,40,7,1:32.763,92763,
1061,4,41,7,1:32.767,92767,
1061,4,42,7,1:32.708,92708,
1061,4,43,7,1:32.443,92443,
1061,4,44,7,1:32.225,92225,
1061,4,45,7,1:32.240,92240,
1061,4,46,7,1:32.476,92476,
1061,4,47,7,1:32.047,92047,
1061,4,48,7,1:31.698,91698,
1061,4,49,7,1:32.361,92361,
1061,4,50,7,1:32.194,92194,
1061,4,51,7,1:32.810,92810,
1061,4,52,7,1:32.821,92821,
1061,832,1,8,2:13.629,133629,
1061,832,2,8,2:45.213,165213,
1061,832,3,8,37:13.164,2233164,
1061,832,4,7,2:22.426,142426,
1061,832,5,6,1:33.782,93782,
1061,832,6,6,1:34.026,94026,
1061,832,7,6,1:33.807,93807,
1061,832,8,6,1:33.937,93937,
1061,832,9,6,1:33.915,93915,
1061,832,10,6,1:34.001,94001,
1061,832,11,6,1:33.886,93886,
1061,832,12,6,1:33.862,93862,
1061,832,13,6,1:34.135,94135,
1061,832,14,6,1:33.798,93798,
1061,832,15,6,1:33.598,93598,
1061,832,16,6,1:33.637,93637,
1061,832,17,6,1:33.202,93202,
1061,832,18,6,1:33.192,93192,
1061,832,19,6,1:33.344,93344,
1061,832,20,6,1:32.730,92730,
1061,832,21,5,1:32.457,92457,
1061,832,22,4,1:32.366,92366,
1061,832,23,3,1:32.064,92064,
1061,832,24,3,1:32.254,92254,
1061,832,25,3,1:31.885,91885,
1061,832,26,3,1:31.819,91819,
1061,832,27,3,1:32.260,92260,
1061,832,28,2,1:31.816,91816,
1061,832,29,6,2:00.799,120799,
1061,832,30,6,1:31.306,91306,
1061,832,31,6,1:31.706,91706,
1061,832,32,6,1:32.305,92305,
1061,832,33,6,1:32.335,92335,
1061,832,34,6,1:32.740,92740,
1061,832,35,6,1:32.258,92258,
1061,832,36,6,1:32.701,92701,
1061,832,37,6,1:32.686,92686,
1061,832,38,6,1:32.354,92354,
1061,832,39,6,1:32.569,92569,
1061,832,40,6,1:32.253,92253,
1061,832,41,6,1:31.816,91816,
1061,832,42,6,1:31.868,91868,
1061,832,43,6,1:31.929,91929,
1061,832,44,6,1:31.737,91737,
1061,832,45,6,1:31.745,91745,
1061,832,46,6,1:31.592,91592,
1061,832,47,6,1:31.927,91927,
1061,832,48,6,1:31.856,91856,
1061,832,49,6,1:31.784,91784,
1061,832,50,6,1:31.742,91742,
1061,832,51,6,1:31.223,91223,
1061,832,52,6,1:31.302,91302,
1061,8,1,9,2:16.273,136273,
1061,8,2,9,2:45.159,165159,
1061,8,3,9,37:15.325,2235325,
1061,8,4,9,2:19.184,139184,
1061,8,5,10,1:36.398,96398,
1061,8,6,10,1:34.929,94929,
1061,8,7,10,1:35.251,95251,
1061,8,8,10,1:35.003,95003,
1061,8,9,10,1:34.988,94988,
1061,8,10,10,1:34.766,94766,
1061,8,11,10,1:34.554,94554,
1061,8,12,10,1:34.845,94845,
1061,8,13,10,1:34.788,94788,
1061,8,14,10,1:34.681,94681,
1061,8,15,10,1:34.264,94264,
1061,8,16,10,1:34.273,94273,
1061,8,17,10,1:34.142,94142,
1061,8,18,10,1:33.762,93762,
1061,8,19,14,1:52.938,112938,
1061,8,20,14,1:34.157,94157,
1061,8,21,14,1:33.789,93789,
1061,8,22,14,1:33.943,93943,
1061,8,23,14,1:33.939,93939,
1061,8,24,13,1:33.907,93907,
1061,8,25,13,1:33.404,93404,
1061,8,26,13,1:33.609,93609,
1061,8,27,13,1:33.560,93560,
1061,8,28,13,1:33.246,93246,
1061,8,29,13,1:33.378,93378,
1061,8,30,13,1:33.543,93543,
1061,8,31,12,1:33.276,93276,
1061,8,32,12,1:33.057,93057,
1061,8,33,12,1:33.432,93432,
1061,8,34,12,1:33.508,93508,
1061,8,35,12,1:33.381,93381,
1061,8,36,12,1:33.303,93303,
1061,8,37,12,1:33.470,93470,
1061,8,38,12,1:33.331,93331,
1061,8,39,11,1:33.236,93236,
1061,8,40,11,1:33.252,93252,
1061,8,41,11,1:32.931,92931,
1061,8,42,11,1:33.130,93130,
1061,8,43,11,1:33.012,93012,
1061,8,44,11,1:32.531,92531,
1061,8,45,11,1:32.345,92345,
1061,8,46,16,1:42.269,102269,
1061,8,47,16,1:36.555,96555,
1061,8,48,16,1:31.895,91895,
1061,8,49,15,1:32.275,92275,
1061,8,50,15,1:32.012,92012,
1061,8,51,15,1:32.537,92537,
1061,839,1,10,2:16.727,136727,
1061,839,2,10,2:46.033,166033,
1061,839,3,10,37:16.939,2236939,
1061,839,4,10,2:16.604,136604,
1061,839,5,9,1:35.130,95130,
1061,839,6,9,1:34.832,94832,
1061,839,7,9,1:34.982,94982,
1061,839,8,9,1:35.072,95072,
1061,839,9,9,1:34.762,94762,
1061,839,10,9,1:34.548,94548,
1061,839,11,9,1:34.639,94639,
1061,839,12,9,1:34.593,94593,
1061,839,13,9,1:34.781,94781,
1061,839,14,9,1:34.389,94389,
1061,839,15,9,1:34.090,94090,
1061,839,16,9,1:34.152,94152,
1061,839,17,9,1:33.975,93975,
1061,839,18,9,1:34.037,94037,
1061,839,19,9,1:33.472,93472,
1061,839,20,12,1:53.457,113457,
1061,839,21,12,1:32.946,92946,
1061,839,22,13,1:34.079,94079,
1061,839,23,13,1:33.186,93186,
1061,839,24,12,1:33.223,93223,
1061,839,25,12,1:32.939,92939,
1061,839,26,12,1:32.784,92784,
1061,839,27,12,1:32.882,92882,
1061,839,28,12,1:32.840,92840,
1061,839,29,12,1:34.350,94350,
1061,839,30,12,1:33.657,93657,
1061,839,31,11,1:33.252,93252,
1061,839,32,11,1:33.114,93114,
1061,839,33,11,1:33.022,93022,
1061,839,34,11,1:32.764,92764,
1061,839,35,11,1:32.963,92963,
1061,839,36,11,1:33.166,93166,
1061,839,37,11,1:33.051,93051,
1061,839,38,11,1:32.855,92855,
1061,839,39,10,1:32.845,92845,
1061,839,40,10,1:32.497,92497,
1061,839,41,10,1:32.622,92622,
1061,839,42,10,1:32.588,92588,
