resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25146,1061,1,131,44,2,1,1,1,25,52,1:58:23.284,7103284,45,2,1:29.699,236.430,1
25147,1061,844,6,16,4,2,2,2,18,52,3.871,7107155,45,5,1:30.569,234.159,1
25148,1061,822,131,77,3,3,3,3,15,52,11.125,7114409,45,4,1:30.524,234.275,1
25149,1061,846,1,4,5,4,4,4,12,52,28.573,7131857,44,9,1:31.420,231.979,1
25150,1061,817,1,3,6,5,5,5,10,52,42.624,7145908,51,8,1:31.284,232.325,1
25151,1061,832,6,55,10,6,6,6,8,52,43.454,7146738,51,7,1:31.223,232.480,1
25152,1061,4,214,14,7,7,7,7,6,52,+1:12.093,7175377,48,10,1:31.698,231.276,1
25153,1061,840,117,18,14,8,8,8,4,52,+1:14.289,7177573,48,12,1:31.992,230.537,1
25154,1061,839,214,31,9,9,9,9,2,52,+1:16.162,7179446,48,14,1:32.210,229.992,1
25155,1061,852,213,22,16,10,10,10,1,52,+1:22.065,7185349,51,6,1:30.826,233.497,1
25156,1061,842,213,10,11,11,11,11,0,52,+1:25.327,7188611,52,3,1:30.266,234.945,1
25157,1061,847,3,63,12,12,12,12,0,51,\N,\N,49,13,1:32.049,230.394,11
25158,1061,841,51,99,15,13,13,13,0,51,\N,\N,49,15,1:32.346,229.653,11
25159,1061,849,3,6,17,14,14,14,0,51,\N,\N,51,16,1:32.477,229.328,11
25160,1061,8,51,7,13,15,15,15,0,51,\N,\N,48,11,1:31.895,230.780,11
25161,1061,815,9,11,0,16,16,16,0,51,\N,\N,50,1,1:28.617,239.317,11
25162,1061,853,210,9,19,17,17,17,0,51,\N,\N,51,18,1:32.909,228.262,11
25163,1061,854,210,47,18,18,18,18,0,51,\N,\N,50,17,1:32.862,228.377,11
25164,1061,20,117,5,8,\N,R,19,0,40,\N,\N,35,19,1:33.059,227.894,31
25165,1061,830,9,33,1,\N,R,20,0,0,\N,\N,\N,0,\N,\N,4
