resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25206,1064,830,9,33,1,1,1,1,25,72,1:30:05.395,5405395,60,3,1:13.275,209.244,1
25207,1064,1,131,44,2,2,2,2,19,72,20.932,5426327,72,1,1:11.097,215.654,1
25208,1064,822,131,77,3,3,3,3,15,72,56.460,5461855,69,2,1:12.549,211.338,1
25209,1064,842,213,10,4,4,4,4,12,71,\N,\N,57,10,1:14.818,204.929,11
25210,1064,844,6,16,5,5,5,5,10,71,\N,\N,58,9,1:14.780,205.033,11
25211,1064,4,214,14,9,6,6,6,8,71,\N,\N,60,7,1:14.323,206.294,11
25212,1064,832,6,55,6,7,7,7,6,71,\N,\N,45,13,1:15.260,203.725,11
25213,1064,815,9,11,0,8,8,8,4,71,\N,\N,59,4,1:13.461,208.714,11
25214,1064,839,214,31,8,9,9,9,2,71,\N,\N,54,8,1:14.675,205.321,11
25215,1064,846,1,4,13,10,10,10,1,71,\N,\N,48,6,1:14.236,206.535,11
25216,1064,817,1,3,10,11,11,11,0,71,\N,\N,59,11,1:14.920,204.650,11
25217,1064,840,117,18,12,12,12,12,0,70,\N,\N,57,15,1:15.611,202.780,12
25218,1064,20,117,5,15,13,13,13,0,70,\N,\N,63,5,1:13.958,207.312,12
25219,1064,841,51,99,7,14,14,14,0,70,\N,\N,66,12,1:15.125,204.091,12
25220,1064,9,51,88,16,15,15,15,0,70,\N,\N,44,14,1:15.442,203.234,12
25221,1064,849,3,6,0,16,16,16,0,70,\N,\N,25,18,1:15.790,202.301,12
25222,1064,847,3,63,11,17,17,17,0,69,\N,\N,57,16,1:15.628,202.734,6
25223,1064,854,210,47,17,18,18,18,0,69,\N,\N,36,19,1:15.927,201.936,13
25224,1064,852,213,22,14,\N,R,19,0,48,\N,\N,44,17,1:15.783,202.319,131
25225,1064,853,210,9,18,\N,R,20,0,41,\N,\N,35,20,1:16.066,201.567,9
