resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
24986,1053,830,9,33,3,1,1,1,25,63,2:02:34.598,7354598,60,2,1:17.524,227.960,1
24987,1053,1,131,44,1,2,2,2,19,63,22.000,7376598,60,1,1:16.702,230.403,1
24988,1053,846,1,4,7,3,3,3,15,63,23.702,7378300,63,3,1:18.259,225.819,1
24989,1053,844,6,16,4,4,4,4,12,63,25.579,7380177,60,6,1:18.379,225.473,1
24990,1053,832,6,55,11,5,5,5,10,63,27.036,7381634,60,7,1:18.490,225.154,1
24991,1053,817,1,3,6,6,6,6,8,63,51.220,7405818,54,12,1:19.341,222.739,1
24992,1053,842,213,10,5,7,7,7,6,63,52.818,7407416,52,9,1:18.994,223.718,1
24993,1053,840,117,18,10,8,8,8,4,63,56.909,7411507,59,8,1:18.782,224.320,1
24994,1053,839,214,31,9,9,9,9,2,63,65.704,7420302,62,15,1:19.422,222.512,1
24995,1053,4,214,14,15,10,10,10,1,63,66.561,7421159,62,14,1:19.417,222.526,1
24996,1053,815,9,11,2,11,11,11,0,63,67.151,7421749,62,13,1:19.396,222.585,1
24997,1053,852,213,22,20,12,12,12,0,63,73.184,7427782,49,4,1:18.334,225.603,1
24998,1053,8,51,7,16,13,13,13,0,63,94.773,7449371,62,5,1:18.353,225.548,1
24999,1053,841,51,99,17,14,14,14,0,62,\N,\N,57,16,1:19.470,222.378,11
25000,1053,20,117,5,0,15,15,15,0,61,\N,\N,59,10,1:19.074,223.491,6
25001,1053,854,210,47,18,16,16,16,0,61,\N,\N,58,11,1:19.193,223.156,12
25002,1053,853,210,9,19,17,17,17,0,61,\N,\N,55,17,1:20.402,219.800,12
25003,1053,822,131,77,8,\N,R,18,0,30,\N,\N,30,19,1:28.485,199.721,4
25004,1053,847,3,63,12,\N,R,19,0,30,\N,\N,28,18,1:26.543,204.203,4
25005,1053,849,3,6,14,\N,R,20,0,0,\N,\N,\N,0,\N,\N,4
