raceId,driverId,lap,position,time,milliseconds,
1059,1,1,1,1:44.859,104859,
1059,1,2,1,1:39.625,99625,
1059,1,3,1,1:39.776,99776,
1059,1,4,1,1:39.692,99692,
1059,1,5,1,1:39.549,99549,
1059,1,6,1,1:38.787,98787,
1059,1,7,1,1:39.204,99204,
1059,1,8,1,1:38.763,98763,
1059,1,9,1,1:39.268,99268,
1059,1,10,1,1:38.778,98778,
1059,1,11,1,1:38.977,98977,
1059,1,12,1,1:39.432,99432,
1059,1,13,1,1:38.929,98929,
1059,1,14,1,1:39.160,99160,
1059,1,15,1,1:39.511,99511,
1059,1,16,1,1:39.395,99395,
1059,1,17,1,1:38.926,98926,
1059,1,18,1,1:39.035,99035,
1059,1,19,2,1:58.684,118684,
1059,1,20,3,1:41.873,101873,
1059,1,21,3,1:37.480,97480,
1059,1,22,3,1:37.551,97551,
1059,1,23,3,1:37.702,97702,
1059,1,24,2,1:37.786,97786,
1059,1,25,2,1:37.947,97947,
1059,1,26,2,1:37.905,97905,
1059,1,27,2,1:37.979,97979,
1059,1,28,2,1:37.712,97712,
1059,1,29,2,1:38.457,98457,
1059,1,30,2,1:38.226,98226,
1059,1,31,2,1:38.503,98503,
1059,1,32,1,1:38.392,98392,
1059,1,33,1,1:38.429,98429,
1059,1,34,1,1:38.666,98666,
1059,1,35,1,1:38.411,98411,
1059,1,36,1,1:38.565,98565,
1059,1,37,1,1:39.137,99137,
1059,1,38,1,1:37.650,97650,
1059,1,39,1,1:37.458,97458,
1059,1,40,1,1:38.182,98182,
1059,1,41,1,1:37.685,97685,
1059,1,42,1,1:37.818,97818,
1059,1,43,1,1:37.640,97640,
1059,1,44,1,1:37.410,97410,
1059,1,45,1,1:37.542,97542,
1059,1,46,1,1:37.545,97545,
1059,1,47,1,1:38.431,98431,
1059,1,48,1,1:38.089,98089,
1059,1,49,1,1:38.189,98189,
1059,1,50,1,1:37.946,97946,
1059,1,51,1,1:38.242,98242,
1059,1,52,2,1:38.735,98735,
1059,1,53,2,1:39.041,99041,
1059,830,1,2,1:46.339,106339,
1059,830,2,2,1:39.613,99613,
1059,830,3,2,1:39.571,99571,
1059,830,4,2,1:40.024,100024,
1059,830,5,2,1:39.408,99408,
1059,830,6,2,1:38.727,98727,
1059,830,7,2,1:39.430,99430,
1059,830,8,2,1:39.059,99059,
1059,830,9,2,1:39.122,99122,
1059,830,10,2,1:38.950,98950,
1059,830,11,2,1:39.214,99214,
1059,830,12,2,1:39.307,99307,
1059,830,13,2,1:39.214,99214,
1059,830,14,2,1:39.015,99015,
1059,830,15,2,1:40.297,100297,
1059,830,16,2,1:39.199,99199,
1059,830,17,2,1:39.246,99246,
1059,830,18,3,1:58.099,118099,
1059,830,19,3,1:39.966,99966,
1059,830,20,2,1:37.776,97776,
1059,830,21,2,1:37.516,97516,
1059,830,22,2,1:37.052,97052,
1059,830,23,2,1:38.086,98086,
1059,830,24,1,1:37.915,97915,
1059,830,25,1,1:37.706,97706,
1059,830,26,1,1:38.278,98278,
1059,830,27,1,1:37.727,97727,
1059,830,28,1,1:37.657,97657,
1059,830,29,1,1:38.040,98040,
1059,830,30,1,1:37.833,97833,
1059,830,31,1,1:37.844,97844,
1059,830,32,4,1:56.764,116764,
1059,830,33,4,1:40.458,100458,
1059,830,34,4,1:36.743,96743,
1059,830,35,3,1:36.404,96404,
1059,830,36,3,1:36.579,96579,
1059,830,37,3,1:36.582,96582,
1059,830,38,3,1:36.863,96863,
1059,830,39,3,1:36.973,96973,
1059,830,40,3,1:37.033,97033,
1059,830,41,3,1:37.081,97081,
1059,830,42,3,1:36.849,96849,
1059,830,43,3,1:37.092,97092,
1059,830,44,2,1:37.450,97450,
1059,830,45,2,1:37.129,97129,
1059,830,46,2,1:37.558,97558,
1059,830,47,2,1:37.627,97627,
1059,830,48,2,1:37.459,97459,
1059,830,49,2,1:37.430,97430,
1059,830,50,2,1:36.968,96968,
1059,830,51,2,1:37.413,97413,
1059,830,52,1,1:36.942,96942,
1059,830,53,1,1:37.143,97143,
1059,822,1,3,1:46.833,106833,
1059,822,2,3,1:40.188,100188,
1059,822,3,3,1:39.822,99822,
1059,822,4,3,1:39.889,99889,
1059,822,5,3,1:39.293,99293,
1059,822,6,3,1:38.604,98604,
1059,822,7,3,1:39.510,99510,
1059,822,8,3,1:39.229,99229,
1059,822,9,3,1:39.264,99264,
1059,822,10,3,1:39.018,99018,
1059,822,11,3,1:39.290,99290,
1059,822,12,3,1:40.266,100266,
1059,822,13,3,1:39.473,99473,
1059,822,14,3,1:39.406,99406,
1059,822,15,3,1:39.864,99864,
1059,822,16,3,1:39.239,99239,
1059,822,17,4,1:59.129,119129,
1059,822,18,4,1:40.235,100235,
1059,822,19,4,1:36.960,96960,
1059,822,20,4,1:37.488,97488,
1059,822,21,4,1:37.514,97514,
1059,822,22,4,1:37.377,97377,
1059,822,23,4,1:37.922,97922,
1059,822,24,3,1:37.642,97642,
1059,822,25,3,1:37.799,97799,
1059,822,26,3,1:39.013,99013,
1059,822,27,3,1:38.071,98071,
1059,822,28,3,1:38.291,98291,
1059,822,29,3,1:38.629,98629,
1059,822,30,3,1:38.713,98713,
1059,822,31,3,1:38.982,98982,
1059,822,32,2,1:38.831,98831,
1059,822,33,2,1:38.346,98346,
1059,822,34,2,1:37.702,97702,
1059,822,35,2,1:38.392,98392,
1059,822,36,2,1:38.111,98111,
1059,822,37,2,1:38.188,98188,
1059,822,38,2,1:37.862,97862,
1059,822,39,2,1:38.016,98016,
1059,822,40,2,1:38.738,98738,
1059,822,41,2,1:38.724,98724,
1059,822,42,2,1:38.247,98247,
1059,822,43,2,1:37.612,97612,
1059,822,44,3,1:39.479,99479,
1059,822,45,3,1:39.073,99073,
1059,822,46,3,1:38.719,98719,
1059,822,47,3,1:37.695,97695,
1059,822,48,3,1:38.768,98768,
1059,822,49,4,1:41.084,101084,
1059,822,50,4,1:39.226,99226,
1059,822,51,4,1:38.322,98322,
1059,822,52,4,1:38.440,98440,
1059,822,53,4,1:37.860,97860,
1059,815,1,4,1:48.257,108257,
1059,815,2,4,1:40.612,100612,
1059,815,3,4,1:40.549,100549,
1059,815,4,4,1:40.419,100419,
1059,815,5,4,1:39.998,99998,
