resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25086,1059,830,9,33,1,1,1,1,26,53,1:27:25.770,5245770,35,1,1:36.404,218.156,1
25087,1059,1,131,44,2,2,2,2,18,53,2.904,5248674,44,5,1:37.410,215.903,1
25088,1059,815,9,11,4,3,3,3,15,53,8.811,5254581,53,2,1:36.693,217.504,1
25089,1059,822,131,77,3,4,4,4,12,53,14.618,5260388,19,3,1:36.960,216.905,1
25090,1059,846,1,4,8,5,5,5,10,53,+1:04.032,5309802,52,6,1:37.425,215.870,1
25091,1059,817,1,3,10,6,6,6,8,53,+1:15.857,5321627,45,14,1:38.324,213.896,1
25092,1059,842,213,10,6,7,7,7,6,53,+1:16.596,5322366,44,11,1:38.103,214.378,1
25093,1059,4,214,14,9,8,8,8,4,53,+1:17.695,5323465,44,7,1:37.646,215.382,1
25094,1059,20,117,5,12,9,9,9,2,53,+1:19.666,5325436,52,4,1:37.138,216.508,1
25095,1059,840,117,18,19,10,10,10,1,53,+1:31.946,5337716,44,9,1:37.828,214.981,1
25096,1059,832,6,55,5,11,11,11,0,53,+1:39.337,5345107,19,18,1:38.931,212.584,1
25097,1059,847,3,63,14,12,12,12,0,52,\N,\N,52,13,1:38.314,213.918,11
25098,1059,852,213,22,0,13,13,13,0,52,\N,\N,18,19,1:38.980,212.479,11
25099,1059,839,214,31,11,14,14,14,0,52,\N,\N,33,15,1:38.645,213.200,11
25100,1059,841,51,99,13,15,15,15,0,52,\N,\N,36,16,1:38.702,213.077,11
25101,1059,844,6,16,7,16,16,16,0,52,\N,\N,43,8,1:37.681,215.304,11
25102,1059,8,51,7,17,17,17,17,0,52,\N,\N,46,10,1:37.992,214.621,11
25103,1059,849,3,6,16,18,18,18,0,52,\N,\N,50,12,1:38.313,213.920,11
25104,1059,854,210,47,15,19,19,19,0,52,\N,\N,51,17,1:38.847,212.765,11
25105,1059,853,210,9,18,20,20,20,0,52,\N,\N,34,20,1:39.317,211.758,11
