raceId,driverId,lap,position,time,milliseconds,
1062,1,1,1,1:58.069,118069,
1062,1,2,1,2:49.020,169020,
1062,1,3,13,26:46.873,1606873,
1062,1,4,1,1:49.712,109712,
1062,1,5,14,1:43.232,103232,
1062,1,6,14,1:23.637,83637,
1062,1,7,14,1:25.597,85597,
1062,1,8,14,1:25.736,85736,
1062,1,9,14,1:25.710,85710,
1062,1,10,13,1:24.966,84966,
1062,1,11,13,1:25.237,85237,
1062,1,12,13,1:25.421,85421,
1062,1,13,13,1:25.255,85255,
1062,1,14,13,1:26.772,86772,
1062,1,15,13,1:25.614,85614,
1062,1,16,11,1:23.219,83219,
1062,1,17,11,1:23.432,83432,
1062,1,18,11,1:23.596,83596,
1062,1,19,11,1:26.667,86667,
1062,1,20,12,1:39.467,99467,
1062,1,21,10,1:21.531,81531,
1062,1,22,9,1:21.076,81076,
1062,1,23,9,1:24.186,84186,
1062,1,24,8,1:20.609,80609,
1062,1,25,8,1:21.223,81223,
1062,1,26,8,1:22.812,82812,
1062,1,27,7,1:21.534,81534,
1062,1,28,7,1:22.594,82594,
1062,1,29,7,1:23.111,83111,
1062,1,30,7,1:23.091,83091,
1062,1,31,6,1:22.977,82977,
1062,1,32,5,1:21.596,81596,
1062,1,33,5,1:21.422,81422,
1062,1,34,5,1:21.237,81237,
1062,1,35,5,1:21.494,81494,
1062,1,36,5,1:21.174,81174,
1062,1,37,5,1:21.584,81584,
1062,1,38,5,1:22.101,82101,
1062,1,39,5,1:21.649,81649,
1062,1,40,4,1:21.439,81439,
1062,1,41,4,1:21.612,81612,
1062,1,42,4,1:21.509,81509,
1062,1,43,4,1:21.628,81628,
1062,1,44,4,1:21.733,81733,
1062,1,45,4,1:22.307,82307,
1062,1,46,4,1:21.954,81954,
1062,1,47,4,1:24.232,84232,
1062,1,48,5,1:36.937,96937,
1062,1,49,5,1:18.715,78715,
1062,1,50,5,1:19.028,79028,
1062,1,51,5,1:19.104,79104,
1062,1,52,5,1:19.652,79652,
1062,1,53,5,1:20.344,80344,
1062,1,54,5,1:20.550,80550,
1062,1,55,5,1:22.538,82538,
1062,1,56,5,1:21.155,81155,
1062,1,57,5,1:22.207,82207,
1062,1,58,5,1:21.301,81301,
1062,1,59,5,1:21.316,81316,
1062,1,60,5,1:21.725,81725,
1062,1,61,5,1:21.755,81755,
1062,1,62,5,1:21.386,81386,
1062,1,63,5,1:22.570,82570,
1062,1,64,5,1:21.687,81687,
1062,1,65,4,1:20.809,80809,
1062,1,66,4,1:22.950,82950,
1062,1,67,3,1:20.479,80479,
1062,1,68,3,1:19.306,79306,
1062,1,69,3,1:19.663,79663,
1062,1,70,3,1:20.111,80111,
1062,839,1,2,1:59.634,119634,
1062,839,2,2,2:49.656,169656,
1062,839,3,1,26:30.847,1590847,
1062,839,4,2,2:03.712,123712,
1062,839,5,1,1:24.575,84575,
1062,839,6,1,1:24.374,84374,
1062,839,7,1,1:24.159,84159,
1062,839,8,1,1:24.384,84384,
1062,839,9,1,1:24.056,84056,
1062,839,10,1,1:24.104,84104,
1062,839,11,1,1:23.983,83983,
1062,839,12,1,1:23.907,83907,
1062,839,13,1,1:23.822,83822,
1062,839,14,1,1:24.046,84046,
1062,839,15,1,1:24.129,84129,
1062,839,16,1,1:24.091,84091,
1062,839,17,1,1:24.113,84113,
1062,839,18,1,1:23.696,83696,
1062,839,19,1,1:23.582,83582,
1062,839,20,1,1:23.902,83902,
1062,839,21,1,1:23.738,83738,
1062,839,22,1,1:23.584,83584,
1062,839,23,1,1:23.711,83711,
1062,839,24,1,1:23.278,83278,
1062,839,25,1,1:23.324,83324,
1062,839,26,1,1:23.114,83114,
1062,839,27,1,1:22.881,82881,
1062,839,28,1,1:22.752,82752,
1062,839,29,1,1:22.811,82811,
1062,839,30,1,1:23.043,83043,
1062,839,31,1,1:22.992,82992,
1062,839,32,1,1:22.942,82942,
1062,839,33,1,1:22.863,82863,
1062,839,34,1,1:23.183,83183,
1062,839,35,1,1:22.893,82893,
1062,839,36,1,1:22.816,82816,
1062,839,37,1,1:25.071,85071,
1062,839,38,2,1:40.201,100201,
1062,839,39,2,1:21.762,81762,
1062,839,40,1,1:21.839,81839,
1062,839,41,1,1:21.912,81912,
1062,839,42,1,1:22.127,82127,
1062,839,43,1,1:21.804,81804,
1062,839,44,1,1:22.022,82022,
1062,839,45,1,1:21.925,81925,
1062,839,46,1,1:22.297,82297,
1062,839,47,1,1:22.459,82459,
1062,839,48,1,1:22.770,82770,
1062,839,49,1,1:22.433,82433,
1062,839,50,1,1:21.832,81832,
1062,839,51,1,1:21.886,81886,
1062,839,52,1,1:21.784,81784,
1062,839,53,1,1:21.717,81717,
1062,839,54,1,1:21.421,81421,
1062,839,55,1,1:21.578,81578,
1062,839,56,1,1:21.671,81671,
1062,839,57,1,1:21.693,81693,
1062,839,58,1,1:21.594,81594,
1062,839,59,1,1:21.586,81586,
1062,839,60,1,1:21.551,81551,
1062,839,61,1,1:21.700,81700,
1062,839,62,1,1:21.686,81686,
1062,839,63,1,1:22.089,82089,
1062,839,64,1,1:21.429,81429,
1062,839,65,1,1:21.503,81503,
1062,839,66,1,1:21.591,81591,
1062,839,67,1,1:21.687,81687,
1062,839,68,1,1:21.942,81942,
1062,839,69,1,1:21.855,81855,
1062,839,70,1,1:22.085,82085,
1062,20,1,3,2:01.406,121406,
1062,20,2,3,2:51.410,171410,
1062,20,3,2,26:27.952,1587952,
1062,20,4,3,2:03.935,123935,
1062,20,5,2,1:24.897,84897,
1062,20,6,2,1:24.399,84399,
1062,20,7,2,1:24.579,84579,
1062,20,8,2,1:24.228,84228,
1062,20,9,2,1:24.083,84083,
1062,20,10,2,1:23.808,83808,
1062,20,11,2,1:24.021,84021,
1062,20,12,2,1:23.827,83827,
1062,20,13,2,1:23.945,83945,
1062,20,14,2,1:23.982,83982,
1062,20,15,2,1:24.118,84118,
1062,20,16,2,1:24.133,84133,
1062,20,17,2,1:23.715,83715,
1062,20,18,2,1:23.792,83792,
1062,20,19,2,1:23.880,83880,
1062,20,20,2,1:23.887,83887,
1062,20,21,2,1:23.559,83559,
1062,20,22,2,1:23.674,83674,
1062,20,23,2,1:23.293,83293,
1062,20,24,2,1:23.692,83692,
1062,20,25,2,1:23.715,83715,
1062,20,26,2,1:23.118,83118,
1062,20,27,2,1:23.089,83089,
1062,20,28,2,1:22.829,82829,
1062,20,29,2,1:23.067,83067,
1062,20,30,2,1:23.247,83247,
1062,20,31,2,1:22.994,82994,
1062,20,32,2,1:23.003,83003,
1062,20,33,2,1:23.056,83056,
1062,20,34,2,1:22.996,82996,
1062,20,35,2,1:23.172,83172,
1062,20,36,2,1:25.373,85373,
1062,20,37,3,1:38.807,98807,
1062,20,38,3,1:22.239,82239,
1062,20,39,3,1:21.873,81873,
1062,20,40,2,1:21.875,81875,
1062,20,41,2,1:21.676,81676,
1062,20,42,2,1:22.565,82565,
1062,20,43,2,1:21.724,81724,
1062,20,44,2,1:21.796,81796,
1062,20,45,2,1:22.246,82246,
1062,20,46,2,1:22.236,82236,
1062,20,47,2,1:22.061,82061,
1062,20,48,2,1:22.502,82502,
1062,20,49,2,1:22.560,82560,
1062,20,50,2,1:22.184,82184,
1062,20,51,2,1:21.985,81985,
1062,20,52,2,1:21.806,81806,
1062,20,53,2,1:21.475,81475,
1062,20,54,2,1:21.774,81774,
1062,20,55,2,1:21.464,81464,
1062,20,56,2,1:21.644,81644,
1062,20,57,2,1:21.807,81807,
1062,20,58,2,1:21.491,81491,
1062,20,59,2,1:21.685,81685,
1062,20,60,2,1:21.459,81459,
1062,20,61,2,1:21.557,81557,
1062,20,62,2,1:21.571,81571,
1062,20,63,2,1:21.986,81986,
1062,20,64,2,1:21.792,81792,
1062,20,65,2,1:21.778,81778,
1062,20,66,2,1:21.723,81723,
1062,20,67,2,1:21.755,81755,
1062,20,68,2,1:21.799,81799,
1062,20,69,2,1:21.863,81863,
1062,20,70,2,1:22.426,82426,
1062,832,1,4,2:03.261,123261,
1062,832,2,4,2:51.406,171406,
1062,832,3,3,26:27.127,1587127,
1062,832,4,6,2:07.453,127453,
1062,832,5,5,1:26.393,86393,
1062,832,6,5,1:26.146,86146,
1062,832,7,5,1:25.023,85023,
1062,832,8,5,1:24.752,84752,
1062,832,9,5,1:24.837,84837,
1062,832,10,5,1:24.878,84878,
1062,832,11,5,1:24.726,84726,
1062,832,12,5,1:24.723,84723,
1062,832,13,5,1:24.731,84731,
1062,832,14,5,1:24.623,84623,
1062,832,15,5,1:24.379,84379,
1062,832,16,5,1:24.360,84360,
1062,832,17,5,1:24.241,84241,
1062,832,18,5,1:24.549,84549,
1062,832,19,5,1:24.520,84520,
1062,832,20,5,1:24.558,84558,
1062,832,21,5,1:24.249,84249,
1062,832,22,4,1:24.063,84063,
1062,832,23,3,1:22.588,82588,
1062,832,24,3,1:21.898,81898,
1062,832,25,3,1:22.156,82156,
1062,832,26,3,1:23.213,83213,
1062,832,27,3,1:22.140,82140,
1062,832,28,3,1:22.281,82281,
1062,832,29,3,1:22.444,82444,
1062,832,30,3,1:22.570,82570,
1062,832,31,3,1:22.403,82403,
1062,832,32,3,1:24.716,84716,
1062,832,33,4,1:40.905,100905,
1062,832,34,4,1:21.893,81893,
1062,832,35,4,1:21.884,81884,
1062,832,36,4,1:21.733,81733,
