raceId,driverId,lap,position,time,milliseconds,
1065,817,1,1,1:37.656,97656,
1065,817,2,1,1:30.745,90745,
1065,817,3,1,1:26.326,86326,
1065,817,4,1,1:26.313,86313,
1065,817,5,1,1:26.410,86410,
1065,817,6,1,1:26.419,86419,
1065,817,7,1,1:26.473,86473,
1065,817,8,1,1:26.789,86789,
1065,817,9,1,1:26.440,86440,
1065,817,10,1,1:26.723,86723,
1065,817,11,1,1:26.529,86529,
1065,817,12,1,1:26.705,86705,
1065,817,13,1,1:26.506,86506,
1065,817,14,1,1:26.391,86391,
1065,817,15,1,1:26.666,86666,
1065,817,16,1,1:26.628,86628,
1065,817,17,1,1:26.565,86565,
1065,817,18,1,1:26.917,86917,
1065,817,19,1,1:26.825,86825,
1065,817,20,1,1:27.061,87061,
1065,817,21,1,1:27.335,87335,
1065,817,22,2,1:32.063,92063,
1065,817,23,7,1:45.539,105539,
1065,817,24,6,1:26.037,86037,
1065,817,25,4,1:26.021,86021,
1065,817,26,3,1:44.051,104051,
1065,817,27,1,2:33.470,153470,
1065,817,28,1,2:36.254,156254,
1065,817,29,1,2:30.162,150162,
1065,817,30,1,2:33.385,153385,
1065,817,31,1,1:26.525,86525,
1065,817,32,1,1:26.533,86533,
1065,817,33,1,1:26.131,86131,
1065,817,34,1,1:26.164,86164,
1065,817,35,1,1:26.394,86394,
1065,817,36,1,1:25.796,85796,
1065,817,37,1,1:26.214,86214,
1065,817,38,1,1:25.900,85900,
1065,817,39,1,1:26.060,86060,
1065,817,40,1,1:25.770,85770,
1065,817,41,1,1:25.905,85905,
1065,817,42,1,1:25.926,85926,
1065,817,43,1,1:26.051,86051,
1065,817,44,1,1:44.842,104842,
1065,817,45,1,1:25.404,85404,
1065,817,46,1,1:25.608,85608,
1065,817,47,1,1:25.713,85713,
1065,817,48,1,1:25.617,85617,
1065,817,49,1,1:25.548,85548,
1065,817,50,1,1:25.440,85440,
1065,817,51,1,1:25.234,85234,
1065,817,52,1,1:25.374,85374,
1065,817,53,1,1:24.812,84812,
1065,830,1,2,1:39.532,99532,
1065,830,2,2,1:30.125,90125,
1065,830,3,2,1:25.808,85808,
1065,830,4,2,1:26.395,86395,
1065,830,5,2,1:26.377,86377,
1065,830,6,2,1:26.341,86341,
1065,830,7,2,1:27.159,87159,
1065,830,8,2,1:26.333,86333,
1065,830,9,2,1:26.531,86531,
1065,830,10,2,1:26.499,86499,
