resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25226,1065,817,1,3,2,1,1,1,26,53,1:21:54.365,4914365,53,1,1:24.812,245.894,1
25227,1065,846,1,4,3,2,2,2,18,53,1.747,4916112,53,3,1:24.971,245.434,1
25228,1065,822,131,77,19,3,3,3,15,53,4.921,4919286,34,2,1:24.827,245.850,1
25229,1065,844,6,16,5,4,4,4,12,53,7.309,4921674,53,6,1:25.319,244.433,1
25230,1065,815,9,11,8,5,5,5,10,53,8.723,4923088,53,4,1:25.156,244.901,1
25231,1065,832,6,55,6,6,6,6,8,53,10.535,4924900,53,8,1:25.559,243.747,1
25232,1065,840,117,18,9,7,7,7,6,53,15.804,4930169,52,13,1:25.853,242.912,1
25233,1065,4,214,14,10,8,8,8,4,53,17.201,4931566,52,7,1:25.472,243.995,1
25234,1065,847,3,63,14,9,9,9,2,53,19.742,4934107,53,11,1:25.835,242.963,1
25235,1065,839,214,31,12,10,10,10,1,53,20.868,4935233,53,9,1:25.566,243.727,1
25236,1065,849,3,6,13,11,11,11,0,53,23.743,4938108,50,16,1:25.953,242.630,1
25237,1065,20,117,5,11,12,12,12,0,53,24.621,4938986,50,15,1:25.938,242.672,1
25238,1065,841,51,99,7,13,13,13,0,53,27.216,4941581,50,10,1:25.718,243.295,1
25239,1065,9,51,88,17,14,14,14,0,53,29.769,4944134,53,12,1:25.849,242.924,1
25240,1065,854,210,47,18,15,15,15,0,53,51.088,4965453,52,17,1:26.707,240.520,1
25241,1065,853,210,9,16,\N,R,16,0,41,\N,\N,41,18,1:27.202,239.155,131
25242,1065,1,131,44,4,\N,R,17,0,25,\N,\N,3,14,1:25.870,242.864,4
25243,1065,830,9,33,1,\N,R,18,0,25,\N,\N,25,5,1:25.173,244.852,4
25244,1065,842,213,10,0,\N,R,19,0,3,\N,\N,2,19,1:29.005,234.310,22
25245,1065,852,213,22,0,\N,W,20,0,0,\N,\N,\N,0,\N,\N,23
