raceId,driverId,lap,position,time,milliseconds,
1070,830,1,1,1:44.815,104815,
1070,830,2,1,2:11.572,131572,
1070,830,3,1,2:06.284,126284,
1070,830,4,1,2:07.504,127504,
1070,830,5,1,1:21.615,81615,
1070,830,6,1,1:21.635,81635,
1070,830,7,1,1:21.622,81622,
1070,830,8,1,1:21.520,81520,
1070,830,9,1,1:21.051,81051,
1070,830,10,1,1:21.144,81144,
1070,830,11,1,1:20.958,80958,
1070,830,12,1,1:21.014,81014,
1070,830,13,1,1:21.209,81209,
1070,830,14,1,1:21.158,81158,
1070,830,15,1,1:21.100,81100,
1070,830,16,1,1:21.026,81026,
1070,830,17,1,1:21.447,81447,
1070,830,18,1,1:21.600,81600,
1070,830,19,1,1:20.685,80685,
1070,830,20,1,1:21.126,81126,
1070,830,21,1,1:21.231,81231,
1070,830,22,1,1:21.316,81316,
1070,830,23,1,1:21.417,81417,
1070,830,24,1,1:21.759,81759,
1070,830,25,1,1:21.457,81457,
1070,830,26,1,1:21.491,81491,
1070,830,27,1,1:21.267,81267,
1070,830,28,1,1:21.203,81203,
1070,830,29,1,1:21.029,81029,
1070,830,30,1,1:21.328,81328,
1070,830,31,1,1:21.981,81981,
1070,830,32,1,1:21.223,81223,
1070,830,33,1,1:24.863,84863,
1070,830,34,2,1:38.828,98828,
1070,830,35,2,1:21.003,81003,
1070,830,36,2,1:20.266,80266,
1070,830,37,2,1:20.261,80261,
1070,830,38,2,1:20.083,80083,
1070,830,39,2,1:20.340,80340,
1070,830,40,1,1:20.200,80200,
1070,830,41,1,1:20.069,80069,
1070,830,42,1,1:20.025,80025,
1070,830,43,1,1:19.989,79989,
1070,830,44,1,1:20.356,80356,
1070,830,45,1,1:19.846,79846,
1070,830,46,1,1:20.180,80180,
1070,830,47,1,1:20.211,80211,
1070,830,48,1,1:20.557,80557,
1070,830,49,1,1:19.921,79921,
1070,830,50,1,1:20.877,80877,
1070,830,51,1,1:20.406,80406,
1070,830,52,1,1:18.999,78999,
1070,830,53,1,1:20.231,80231,
1070,830,54,1,1:20.045,80045,
1070,830,55,1,1:20.078,80078,
1070,830,56,1,1:19.988,79988,
1070,830,57,1,1:20.039,80039,
1070,830,58,1,1:19.839,79839,
1070,830,59,1,1:20.249,80249,
1070,830,60,1,1:20.413,80413,
1070,830,61,1,1:20.287,80287,
1070,830,62,1,1:20.340,80340,
1070,830,63,1,1:19.825,79825,
1070,830,64,1,1:19.704,79704,
1070,830,65,1,1:19.210,79210,
1070,830,66,1,1:20.303,80303,
1070,830,67,1,1:23.083,83083,
1070,830,68,1,1:21.109,81109,
1070,830,69,1,1:19.360,79360,
1070,830,70,1,1:20.414,80414,
1070,830,71,1,1:20.502,80502,
1070,1,1,2,1:46.593,106593,
1070,1,2,2,2:11.403,131403,
1070,1,3,2,2:06.513,126513,
1070,1,4,2,2:06.587,126587,
1070,1,5,2,1:22.545,82545,
1070,1,6,2,1:22.254,82254,
1070,1,7,2,1:21.947,81947,
1070,1,8,2,1:21.735,81735,
1070,1,9,2,1:21.520,81520,
1070,1,10,2,1:21.105,81105,
1070,1,11,2,1:21.141,81141,
1070,1,12,2,1:21.261,81261,
1070,1,13,2,1:21.985,81985,
1070,1,14,2,1:21.981,81981,
1070,1,15,2,1:21.575,81575,
1070,1,16,2,1:21.526,81526,
1070,1,17,2,1:21.274,81274,
1070,1,18,2,1:21.203,81203,
1070,1,19,2,1:21.619,81619,
1070,1,20,2,1:22.030,82030,
1070,1,21,2,1:21.387,81387,
1070,1,22,2,1:21.930,81930,
1070,1,23,2,1:21.627,81627,
1070,1,24,2,1:21.398,81398,
1070,1,25,2,1:21.430,81430,
1070,1,26,2,1:21.846,81846,
1070,1,27,2,1:21.394,81394,
1070,1,28,2,1:21.595,81595,
1070,1,29,3,1:25.054,85054,
1070,1,30,4,1:41.412,101412,
1070,1,31,3,1:19.953,79953,
1070,1,32,3,1:20.218,80218,
1070,1,33,3,1:20.456,80456,
1070,1,34,3,1:20.526,80526,
1070,1,35,3,1:20.527,80527,
1070,1,36,3,1:20.312,80312,
1070,1,37,3,1:20.542,80542,
1070,1,38,3,1:21.570,81570,
1070,1,39,3,1:20.944,80944,
1070,1,40,3,1:20.209,80209,
1070,1,41,2,1:20.378,80378,
1070,1,42,2,1:20.412,80412,
1070,1,43,2,1:20.209,80209,
1070,1,44,2,1:20.965,80965,
1070,1,45,2,1:19.834,79834,
1070,1,46,2,1:20.683,80683,
1070,1,47,2,1:20.970,80970,
1070,1,48,2,1:20.419,80419,
1070,1,49,2,1:20.672,80672,
1070,1,50,2,1:20.461,80461,
1070,1,51,2,1:20.111,80111,
1070,1,52,2,1:20.224,80224,
1070,1,53,2,1:20.130,80130,
1070,1,54,2,1:20.628,80628,
1070,1,55,2,1:20.281,80281,
1070,1,56,2,1:20.577,80577,
1070,1,57,2,1:21.141,81141,
1070,1,58,2,1:20.427,80427,
1070,1,59,2,1:20.727,80727,
1070,1,60,2,1:20.749,80749,
1070,1,61,2,1:20.961,80961,
1070,1,62,2,1:20.220,80220,
1070,1,63,2,1:19.981,79981,
1070,1,64,2,1:20.330,80330,
1070,1,65,2,1:20.320,80320,
1070,1,66,2,1:19.820,79820,
1070,1,67,2,1:20.127,80127,
1070,1,68,2,1:20.430,80430,
1070,1,69,2,1:20.236,80236,
1070,1,70,2,1:20.319,80319,
1070,1,71,2,1:20.772,80772,
1070,815,1,3,1:47.610,107610,
1070,815,2,3,2:11.575,131575,
1070,815,3,3,2:06.355,126355,
1070,815,4,3,2:06.308,126308,
1070,815,5,3,1:23.185,83185,
1070,815,6,3,1:22.356,82356,
1070,815,7,3,1:22.330,82330,
1070,815,8,3,1:21.954,81954,
1070,815,9,3,1:21.766,81766,
1070,815,10,3,1:21.687,81687,
1070,815,11,3,1:21.389,81389,
1070,815,12,3,1:21.464,81464,
1070,815,13,3,1:21.520,81520,
1070,815,14,3,1:21.457,81457,
1070,815,15,3,1:21.173,81173,
1070,815,16,3,1:21.393,81393,
1070,815,17,3,1:21.652,81652,
1070,815,18,3,1:21.260,81260,
1070,815,19,3,1:21.380,81380,
1070,815,20,3,1:21.765,81765,
1070,815,21,3,1:21.758,81758,
1070,815,22,3,1:22.017,82017,
1070,815,23,3,1:21.482,81482,
1070,815,24,3,1:21.783,81783,
1070,815,25,3,1:21.359,81359,
1070,815,26,3,1:21.409,81409,
1070,815,27,3,1:21.170,81170,
1070,815,28,3,1:21.420,81420,
1070,815,29,2,1:22.118,82118,
1070,815,30,2,1:21.841,81841,
1070,815,31,2,1:22.092,82092,
1070,815,32,2,1:21.858,81858,
1070,815,33,2,1:21.196,81196,
1070,815,34,1,1:21.152,81152,
1070,815,35,1,1:20.890,80890,
1070,815,36,1,1:21.068,81068,
1070,815,37,1,1:20.761,80761,
1070,815,38,1,1:21.541,81541,
1070,815,39,1,1:21.786,81786,
1070,815,40,2,1:24.496,84496,
1070,815,41,3,1:39.305,99305,
1070,815,42,3,1:19.659,79659,
1070,815,43,3,1:20.152,80152,
1070,815,44,3,1:19.712,79712,
1070,815,45,3,1:19.840,79840,
1070,815,46,3,1:19.949,79949,
1070,815,47,3,1:21.324,81324,
1070,815,48,3,1:20.552,80552,
1070,815,49,3,1:19.468,79468,
1070,815,50,3,1:20.188,80188,
1070,815,51,3,1:19.675,79675,
1070,815,52,3,1:19.890,79890,
1070,815,53,3,1:19.686,79686,
1070,815,54,3,1:19.882,79882,
1070,815,55,3,1:19.643,79643,
1070,815,56,3,1:19.960,79960,
1070,815,57,3,1:20.309,80309,
1070,815,58,3,1:20.151,80151,
1070,815,59,3,1:20.398,80398,
1070,815,60,3,1:20.406,80406,
1070,815,61,3,1:20.878,80878,
1070,815,62,3,1:20.536,80536,
1070,815,63,3,1:20.091,80091,
1070,815,64,3,1:20.395,80395,
1070,815,65,3,1:21.119,81119,
1070,815,66,3,1:19.936,79936,
1070,815,67,3,1:19.890,79890,
1070,815,68,3,1:19.889,79889,
1070,815,69,3,1:19.846,79846,
1070,815,70,3,1:20.183,80183,
1070,815,71,3,1:21.150,81150,
1070,842,1,4,1:49.377,109377,
1070,842,2,4,2:11.585,131585,
1070,842,3,4,2:06.479,126479,
1070,842,4,4,2:04.978,124978,
1070,842,5,4,1:23.821,83821,
1070,842,6,4,1:22.924,82924,
1070,842,7,4,1:22.552,82552,
1070,842,8,4,1:22.722,82722,
1070,842,9,4,1:22.245,82245,
1070,842,10,4,1:22.099,82099,
1070,842,11,4,1:21.772,81772,
1070,842,12,4,1:22.282,82282,
1070,842,13,4,1:22.171,82171,
1070,842,14,4,1:22.243,82243,
1070,842,15,4,1:22.103,82103,
1070,842,16,4,1:22.291,82291,
1070,842,17,4,1:22.304,82304,
1070,842,18,4,1:21.835,81835,
1070,842,19,4,1:21.948,81948,
1070,842,20,4,1:22.048,82048,
1070,842,21,4,1:22.067,82067,
1070,842,22,4,1:22.477,82477,
1070,842,23,4,1:22.512,82512,
1070,842,24,4,1:22.708,82708,
1070,842,25,4,1:22.255,82255,
1070,842,26,4,1:22.126,82126,
