resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25306,1070,830,9,33,3,1,1,1,25,71,1:38:39.086,5919086,52,2,1:18.999,196.134,1
25307,1070,1,131,44,2,2,2,2,18,71,16.555,5935641,66,4,1:19.820,194.116,1
25308,1070,815,9,11,4,3,3,3,15,71,17.752,5936838,49,3,1:19.468,194.976,1
25309,1070,842,213,10,5,4,4,4,12,71,+1:03.845,5982931,66,7,1:20.510,192.453,1
25310,1070,844,6,16,8,5,5,5,10,71,+1:21.037,6000123,63,9,1:20.665,192.083,1
25311,1070,832,6,55,6,6,6,6,8,70,\N,\N,63,5,1:20.081,193.484,11
25312,1070,20,117,5,9,7,7,7,6,70,\N,\N,70,6,1:20.460,192.572,11
25313,1070,8,51,7,10,8,8,8,4,70,\N,\N,63,11,1:20.713,191.969,11
25314,1070,4,214,14,12,9,9,9,2,70,\N,\N,54,10,1:20.711,191.973,11
25315,1070,846,1,4,18,10,10,10,1,70,\N,\N,67,8,1:20.617,192.197,11
25316,1070,841,51,99,11,11,11,11,0,70,\N,\N,68,16,1:21.523,190.061,11
25317,1070,817,1,3,7,12,12,12,0,70,\N,\N,40,13,1:21.069,191.126,11
25318,1070,839,214,31,19,13,13,13,0,70,\N,\N,67,14,1:21.348,190.470,11
25319,1070,840,117,18,20,14,14,14,0,69,\N,\N,61,12,1:20.930,191.454,12
25320,1070,822,131,77,1,15,15,15,0,69,\N,\N,69,1,1:17.774,199.223,12
25321,1070,847,3,63,16,16,16,16,0,69,\N,\N,61,18,1:22.016,188.919,12
25322,1070,849,3,6,13,17,17,17,0,69,\N,\N,66,17,1:21.546,190.008,12
25323,1070,853,210,9,15,18,18,18,0,68,\N,\N,61,15,1:21.402,190.344,13
25324,1070,854,210,47,14,\N,R,19,0,0,\N,\N,\N,0,\N,\N,4
25325,1070,852,213,22,17,\N,R,20,0,0,\N,\N,\N,0,\N,\N,4
