raceId,driverId,lap,position,time,milliseconds,
1056,830,1,1,1:21.986,81986,
1056,830,2,1,1:17.480,77480,
1056,830,3,1,1:17.298,77298,
1056,830,4,1,1:17.237,77237,
1056,830,5,1,1:16.892,76892,
1056,830,6,1,1:17.147,77147,
1056,830,7,1,1:16.722,76722,
1056,830,8,1,1:17.120,77120,
1056,830,9,1,1:16.910,76910,
1056,830,10,1,1:16.944,76944,
1056,830,11,1,1:16.265,76265,
1056,830,12,1,1:16.339,76339,
1056,830,13,1,1:15.954,75954,
1056,830,14,1,1:16.305,76305,
1056,830,15,1,1:15.818,75818,
1056,830,16,1,1:15.760,75760,
1056,830,17,1,1:15.990,75990,
1056,830,18,1,1:15.917,75917,
1056,830,19,1,1:15.655,75655,
1056,830,20,1,1:16.084,76084,
1056,830,21,1,1:16.184,76184,
1056,830,22,1,1:16.144,76144,
1056,830,23,1,1:16.272,76272,
1056,830,24,1,1:16.244,76244,
1056,830,25,1,1:16.531,76531,
1056,830,26,1,1:16.322,76322,
1056,830,27,1,1:16.000,76000,
1056,830,28,1,1:15.981,75981,
1056,830,29,1,1:16.551,76551,
1056,830,30,1,1:16.582,76582,
1056,830,31,1,1:15.167,75167,
1056,830,32,1,1:15.889,75889,
1056,830,33,1,1:15.827,75827,
1056,830,34,1,1:32.339,92339,
1056,830,35,1,1:20.639,80639,
1056,830,36,1,1:15.494,75494,
1056,830,37,1,1:15.861,75861,
1056,830,38,1,1:16.438,76438,
1056,830,39,1,1:16.535,76535,
1056,830,40,1,1:15.881,75881,
1056,830,41,1,1:15.468,75468,
1056,830,42,1,1:15.581,75581,
1056,830,43,1,1:15.624,75624,
1056,830,44,1,1:14.993,74993,
1056,830,45,1,1:14.930,74930,
1056,830,46,1,1:15.502,75502,
1056,830,47,1,1:15.494,75494,
1056,830,48,1,1:14.851,74851,
1056,830,49,1,1:15.186,75186,
1056,830,50,1,1:14.714,74714,
1056,830,51,1,1:14.950,74950,
1056,830,52,1,1:14.853,74853,
1056,830,53,1,1:14.745,74745,
1056,830,54,1,1:14.967,74967,
1056,830,55,1,1:14.783,74783,
1056,830,56,1,1:14.799,74799,
1056,830,57,1,1:14.762,74762,
1056,830,58,1,1:14.649,74649,
1056,830,59,1,1:15.092,75092,
1056,830,60,1,1:15.370,75370,
1056,830,61,1,1:15.557,75557,
1056,830,62,1,1:15.455,75455,
1056,830,63,1,1:15.014,75014,
1056,830,64,1,1:15.473,75473,
1056,830,65,1,1:15.356,75356,
1056,830,66,1,1:15.301,75301,
1056,830,67,1,1:15.035,75035,
1056,830,68,1,1:14.843,74843,
1056,830,69,1,1:14.836,74836,
1056,830,70,1,1:15.321,75321,
1056,830,71,1,1:15.237,75237,
1056,830,72,1,1:14.942,74942,
1056,830,73,1,1:15.316,75316,
1056,830,74,1,1:15.515,75515,
1056,830,75,1,1:14.909,74909,
1056,830,76,1,1:15.331,75331,
1056,830,77,1,1:16.533,76533,
1056,830,78,1,1:16.829,76829,
1056,822,1,2,1:23.015,83015,
1056,822,2,2,1:17.613,77613,
1056,822,3,2,1:17.329,77329,
1056,822,4,2,1:17.154,77154,
1056,822,5,2,1:17.236,77236,
1056,822,6,2,1:16.863,76863,
1056,822,7,2,1:17.082,77082,
1056,822,8,2,1:16.751,76751,
1056,822,9,2,1:16.961,76961,
1056,822,10,2,1:17.012,77012,
1056,822,11,2,1:16.575,76575,
1056,822,12,2,1:16.540,76540,
1056,822,13,2,1:16.040,76040,
1056,822,14,2,1:16.028,76028,
1056,822,15,2,1:15.974,75974,
1056,822,16,2,1:16.275,76275,
1056,822,17,2,1:15.914,75914,
1056,822,18,2,1:15.706,75706,
1056,822,19,2,1:15.908,75908,
1056,822,20,2,1:16.335,76335,
1056,822,21,2,1:16.600,76600,
1056,822,22,2,1:16.471,76471,
1056,822,23,2,1:16.641,76641,
1056,822,24,2,1:17.198,77198,
1056,822,25,2,1:16.543,76543,
1056,822,26,2,1:16.687,76687,
1056,822,27,2,1:16.247,76247,
1056,822,28,2,1:16.034,76034,
1056,822,29,2,1:16.265,76265,
1056,832,1,3,1:24.727,84727,
1056,832,2,3,1:17.929,77929,
1056,832,3,3,1:17.320,77320,
1056,832,4,3,1:18.028,78028,
1056,832,5,3,1:17.304,77304,
1056,832,6,3,1:16.988,76988,
1056,832,7,3,1:16.736,76736,
1056,832,8,3,1:16.687,76687,
1056,832,9,3,1:16.672,76672,
1056,832,10,3,1:16.747,76747,
1056,832,11,3,1:16.748,76748,
1056,832,12,3,1:16.445,76445,
1056,832,13,3,1:16.524,76524,
1056,832,14,3,1:15.926,75926,
1056,832,15,3,1:16.080,76080,
1056,832,16,3,1:15.917,75917,
1056,832,17,3,1:16.021,76021,
1056,832,18,3,1:15.957,75957,
1056,832,19,3,1:15.766,75766,
1056,832,20,3,1:15.925,75925,
1056,832,21,3,1:16.236,76236,
1056,832,22,3,1:16.158,76158,
1056,832,23,3,1:16.751,76751,
1056,832,24,3,1:17.060,77060,
1056,832,25,3,1:16.693,76693,
1056,832,26,3,1:16.889,76889,
1056,832,27,3,1:16.237,76237,
1056,832,28,3,1:16.153,76153,
1056,832,29,3,1:16.220,76220,
1056,832,30,2,1:16.707,76707,
1056,832,31,2,1:16.485,76485,
1056,832,32,3,1:33.980,93980,
1056,832,33,3,1:19.941,79941,
1056,832,34,3,1:14.699,74699,
1056,832,35,2,1:14.621,74621,
1056,832,36,2,1:15.288,75288,
1056,832,37,2,1:15.163,75163,
1056,832,38,2,1:15.158,75158,
1056,832,39,2,1:15.122,75122,
1056,832,40,2,1:16.364,76364,
1056,832,41,2,1:15.565,75565,
1056,832,42,2,1:15.588,75588,
1056,832,43,2,1:15.329,75329,
1056,832,44,2,1:15.056,75056,
1056,832,45,2,1:14.808,74808,
1056,832,46,2,1:15.203,75203,
1056,832,47,2,1:15.626,75626,
1056,832,48,2,1:14.874,74874,
1056,832,49,2,1:14.731,74731,
1056,832,50,2,1:15.049,75049,
1056,832,51,2,1:15.052,75052,
1056,832,52,2,1:14.859,74859,
1056,832,53,2,1:14.792,74792,
1056,832,54,2,1:14.760,74760,
1056,832,55,2,1:14.646,74646,
1056,832,56,2,1:14.914,74914,
1056,832,57,2,1:15.051,75051,
1056,832,58,2,1:15.347,75347,
1056,832,59,2,1:15.320,75320,
1056,832,60,2,1:15.706,75706,
1056,832,61,2,1:16.343,76343,
1056,832,62,2,1:15.592,75592,
1056,832,63,2,1:16.394,76394,
1056,832,64,2,1:15.751,75751,
1056,832,65,2,1:15.455,75455,
1056,832,66,2,1:15.561,75561,
1056,832,67,2,1:15.356,75356,
1056,832,68,2,1:15.397,75397,
1056,832,69,2,1:15.261,75261,
1056,832,70,2,1:15.364,75364,
1056,832,71,2,1:15.269,75269,
1056,832,72,2,1:14.877,74877,
1056,832,73,2,1:15.141,75141,
1056,832,74,2,1:15.760,75760,
1056,832,75,2,1:15.530,75530,
1056,832,76,2,1:15.605,75605,
1056,832,77,2,1:16.139,76139,
1056,832,78,2,1:16.345,76345,
1056,846,1,4,1:25.729,85729,
1056,846,2,4,1:18.426,78426,
1056,846,3,4,1:17.634,77634,
1056,846,4,4,1:17.772,77772,
1056,846,5,4,1:17.864,77864,
1056,846,6,4,1:17.048,77048,
1056,846,7,4,1:17.195,77195,
1056,846,8,4,1:16.655,76655,
1056,846,9,4,1:17.027,77027,
1056,846,10,4,1:17.190,77190,
1056,846,11,4,1:16.601,76601,
1056,846,12,4,1:16.560,76560,
1056,846,13,4,1:16.500,76500,
1056,846,14,4,1:16.302,76302,
