resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25047,1056,832,6,55,4,2,2,2,18,78,8.968,5945788,35,5,1:14.621,160.989,1
25046,1056,830,9,33,2,1,1,1,25,78,1:38:56.820,5936820,58,6,1:14.649,160.929,1
25048,1056,846,1,4,5,3,3,3,15,78,19.427,5956247,76,7,1:14.670,160.883,1
25049,1056,815,9,11,9,4,4,4,12,78,20.490,5957310,32,3,1:14.552,161.138,1
25050,1056,20,117,5,8,5,5,5,10,78,52.591,5989411,33,11,1:15.316,159.503,1
25051,1056,842,213,10,6,6,6,6,8,78,53.896,5990716,71,14,1:15.412,159.300,1
25052,1056,1,131,44,7,7,7,7,7,78,+1:08.231,6005051,69,1,1:12.909,164.769,1
25053,1056,840,117,18,13,8,8,8,4,77,\N,\N,74,8,1:14.674,160.875,11
25054,1056,839,214,31,11,9,9,9,2,77,\N,\N,41,12,1:15.316,159.503,11
25055,1056,841,51,99,10,10,10,10,1,77,\N,\N,41,13,1:15.331,159.472,11
25056,1056,8,51,7,14,11,11,11,0,77,\N,\N,55,9,1:14.971,160.237,11
25057,1056,817,1,3,12,12,12,12,0,77,\N,\N,43,4,1:14.578,161.082,11
25058,1056,4,214,14,17,13,13,13,0,77,\N,\N,70,10,1:15.026,160.120,11
25059,1056,847,3,63,15,14,14,14,0,77,\N,\N,59,15,1:15.539,159.033,11
25060,1056,849,3,6,18,15,15,15,0,77,\N,\N,66,16,1:15.573,158.961,11
25061,1056,852,213,22,16,16,16,16,0,77,\N,\N,66,2,1:14.037,162.259,11
25062,1056,853,210,9,19,17,17,17,0,75,\N,\N,64,19,1:16.866,156.287,13
25063,1056,854,210,47,20,18,18,18,0,75,\N,\N,51,18,1:16.425,157.189,13
25064,1056,822,131,77,3,\N,R,19,0,29,\N,\N,18,17,1:15.706,158.682,61
25065,1056,844,6,16,1,\N,W,20,0,0,\N,\N,\N,0,\N,\N,30
