raceId,driverId,lap,position,time,milliseconds,
1054,822,1,1,1:24.937,84937,
1054,822,2,1,1:46.875,106875,
1054,822,3,1,2:22.684,142684,
1054,822,4,1,2:15.331,135331,
1054,822,5,1,2:01.394,121394,
1054,822,6,1,2:10.372,130372,
1054,822,7,1,1:23.550,83550,
1054,822,8,1,1:23.478,83478,
1054,822,9,1,1:23.281,83281,
1054,822,10,1,1:23.112,83112,
1054,822,11,1,1:23.619,83619,
1054,822,12,1,1:22.591,82591,
1054,822,13,1,1:22.840,82840,
1054,822,14,1,1:22.858,82858,
1054,822,15,1,1:22.926,82926,
1054,822,16,1,1:22.553,82553,
1054,822,17,1,1:22.887,82887,
1054,822,18,1,1:22.889,82889,
1054,822,19,1,1:23.009,83009,
1054,822,20,2,1:24.735,84735,
1054,822,21,2,1:23.348,83348,
1054,822,22,2,1:22.923,82923,
1054,822,23,2,1:22.602,82602,
1054,822,24,2,1:22.633,82633,
1054,822,25,2,1:22.438,82438,
1054,822,26,2,1:22.438,82438,
1054,822,27,2,1:22.566,82566,
1054,822,28,2,1:22.542,82542,
1054,822,29,2,1:22.179,82179,
1054,822,30,2,1:22.415,82415,
1054,822,31,2,1:22.189,82189,
1054,822,32,2,1:22.261,82261,
1054,822,33,2,1:21.927,81927,
1054,822,34,2,1:22.185,82185,
1054,822,35,2,1:22.087,82087,
1054,822,36,2,1:25.701,85701,
1054,822,37,4,1:47.110,107110,
1054,822,38,4,1:21.949,81949,
1054,822,39,4,1:22.440,82440,
1054,822,40,4,1:22.052,82052,
1054,822,41,4,1:21.647,81647,
1054,822,42,4,1:21.407,81407,
1054,822,43,4,1:21.469,81469,
1054,822,44,4,1:21.386,81386,
1054,822,45,4,1:20.983,80983,
1054,822,46,4,1:21.432,81432,
1054,822,47,4,1:21.267,81267,
1054,822,48,4,1:21.395,81395,
1054,822,49,4,1:21.418,81418,
1054,822,50,4,1:21.690,81690,
1054,822,51,3,1:21.308,81308,
1054,822,52,3,1:21.331,81331,
1054,822,53,3,1:21.103,81103,
1054,822,54,3,1:23.229,83229,
1054,822,55,3,1:23.531,83531,
1054,822,56,3,1:21.402,81402,
1054,822,57,3,1:21.154,81154,
1054,822,58,3,1:21.445,81445,
1054,822,59,3,1:21.505,81505,
1054,822,60,3,1:20.967,80967,
1054,822,61,3,1:21.191,81191,
1054,822,62,3,1:21.084,81084,
1054,822,63,3,1:24.774,84774,
1054,822,64,3,1:44.236,104236,
1054,822,65,3,1:19.865,79865,
1054,822,66,3,1:20.826,80826,
1054,1,1,2,1:25.806,85806,
1054,1,2,2,1:48.207,108207,
1054,1,3,2,2:22.624,142624,
1054,1,4,2,2:15.225,135225,
1054,1,5,2,2:00.710,120710,
1054,1,6,2,2:09.497,129497,
1054,1,7,3,1:24.750,84750,
1054,1,8,3,1:23.033,83033,
1054,1,9,3,1:23.551,83551,
1054,1,10,3,1:23.044,83044,
1054,1,11,2,1:23.151,83151,
1054,1,12,2,1:22.283,82283,
1054,1,13,2,1:23.076,83076,
1054,1,14,2,1:22.618,82618,
1054,1,15,2,1:22.923,82923,
1054,1,16,2,1:22.656,82656,
1054,1,17,2,1:23.117,83117,
1054,1,18,2,1:22.722,82722,
1054,1,19,2,1:22.730,82730,
1054,1,20,1,1:23.119,83119,
1054,1,21,1,1:23.012,83012,
1054,1,22,1,1:22.621,82621,
1054,1,23,1,1:22.400,82400,
1054,1,24,1,1:22.487,82487,
1054,1,25,1,1:22.333,82333,
1054,1,26,1,1:22.138,82138,
1054,1,27,1,1:22.580,82580,
1054,1,28,1,1:21.995,81995,
1054,1,29,1,1:22.083,82083,
1054,1,30,1,1:22.197,82197,
1054,1,31,1,1:21.934,81934,
1054,1,32,1,1:22.438,82438,
1054,1,33,1,1:21.613,81613,
1054,1,34,1,1:21.913,81913,
1054,1,35,1,1:22.068,82068,
1054,1,36,1,1:22.243,82243,
1054,1,37,1,1:25.526,85526,
1054,1,38,2,1:45.149,105149,
1054,1,39,2,1:21.862,81862,
1054,1,40,2,1:21.831,81831,
1054,1,41,2,1:21.494,81494,
1054,1,42,2,1:21.490,81490,
1054,1,43,2,1:21.380,81380,
1054,1,44,2,1:21.480,81480,
1054,1,45,2,1:21.483,81483,
1054,1,46,2,1:21.932,81932,
1054,1,47,2,1:20.933,80933,
1054,1,48,2,1:21.485,81485,
1054,1,49,2,1:21.342,81342,
1054,1,50,2,1:21.607,81607,
1054,1,51,1,1:21.164,81164,
1054,1,52,1,1:21.252,81252,
1054,1,53,1,1:21.176,81176,
1054,1,54,1,1:21.704,81704,
1054,1,55,1,1:21.150,81150,
1054,1,56,1,1:21.287,81287,
1054,1,57,1,1:21.308,81308,
1054,1,58,1,1:21.214,81214,
1054,1,59,1,1:21.195,81195,
1054,1,60,1,1:21.106,81106,
1054,1,61,1,1:20.984,80984,
1054,1,62,1,1:21.262,81262,
1054,1,63,1,1:21.665,81665,
1054,1,64,1,1:21.903,81903,
1054,1,65,1,1:21.149,81149,
1054,1,66,1,1:22.011,82011,
1054,830,1,3,1:26.704,86704,
1054,830,2,3,1:48.275,108275,
1054,830,3,3,2:22.886,142886,
1054,830,4,3,2:15.089,135089,
1054,830,5,3,2:00.539,120539,
1054,830,6,3,2:08.636,128636,
1054,830,7,2,1:24.011,84011,
1054,830,8,2,1:23.166,83166,
1054,830,9,2,1:23.146,83146,
1054,830,10,2,1:23.631,83631,
1054,830,11,3,1:24.704,84704,
1054,830,12,3,1:22.568,82568,
1054,830,13,3,1:22.928,82928,
1054,830,14,3,1:23.037,83037,
1054,830,15,3,1:22.737,82737,
1054,830,16,3,1:22.616,82616,
1054,830,17,3,1:23.118,83118,
1054,830,18,3,1:22.610,82610,
1054,830,19,3,1:22.581,82581,
1054,830,20,3,1:23.617,83617,
1054,830,21,3,1:23.453,83453,
1054,830,22,3,1:22.982,82982,
1054,830,23,3,1:22.550,82550,
1054,830,24,3,1:22.813,82813,
1054,830,25,3,1:22.448,82448,
1054,830,26,3,1:22.190,82190,
1054,830,27,3,1:22.596,82596,
1054,830,28,3,1:22.534,82534,
1054,830,29,3,1:22.253,82253,
1054,830,30,3,1:22.293,82293,
1054,830,31,3,1:22.478,82478,
1054,830,32,3,1:22.342,82342,
1054,830,33,3,1:22.341,82341,
1054,830,34,3,1:21.934,81934,
1054,830,35,3,1:25.600,85600,
1054,830,36,4,1:43.759,103759,
1054,830,37,3,1:22.033,82033,
1054,830,38,3,1:21.664,81664,
1054,830,39,3,1:21.680,81680,
1054,830,40,3,1:21.649,81649,
1054,830,41,3,1:22.045,82045,
1054,830,42,3,1:21.653,81653,
1054,830,43,3,1:21.951,81951,
1054,830,44,3,1:21.878,81878,
1054,830,45,3,1:21.187,81187,
1054,830,46,3,1:21.287,81287,
1054,830,47,3,1:21.510,81510,
1054,830,48,3,1:21.471,81471,
1054,830,49,3,1:21.362,81362,
1054,830,50,3,1:22.015,82015,
1054,830,51,2,1:21.658,81658,
1054,830,52,2,1:21.112,81112,
1054,830,53,2,1:21.028,81028,
1054,830,54,2,1:21.711,81711,
1054,830,55,2,1:21.457,81457,
1054,830,56,2,1:21.437,81437,
1054,830,57,2,1:21.240,81240,
1054,830,58,2,1:21.088,81088,
1054,830,59,2,1:21.179,81179,
1054,830,60,2,1:21.152,81152,
1054,830,61,2,1:20.990,80990,
1054,830,62,2,1:20.695,80695,
1054,830,63,2,1:21.237,81237,
1054,830,64,2,1:25.271,85271,
1054,830,65,2,1:44.915,104915,
1054,830,66,2,1:19.849,79849,
1054,832,1,4,1:28.400,88400,
1054,832,2,4,1:48.928,108928,
1054,832,3,4,2:21.456,141456,
1054,832,4,4,2:15.694,135694,
1054,832,5,4,2:00.239,120239,
1054,832,6,4,2:07.910,127910,
1054,832,7,6,1:28.275,88275,
1054,832,8,6,1:24.329,84329,
1054,832,9,6,1:24.439,84439,
1054,832,10,6,1:24.000,84000,
1054,832,11,6,1:24.012,84012,
1054,832,12,6,1:23.196,83196,
1054,832,13,6,1:23.654,83654,
1054,832,14,6,1:23.984,83984,
1054,832,15,6,1:23.958,83958,
1054,832,16,6,1:23.727,83727,
1054,832,17,6,1:23.792,83792,
1054,832,18,6,1:23.565,83565,
1054,832,19,6,1:23.645,83645,
1054,832,20,6,1:23.652,83652,
1054,832,21,7,1:27.310,87310,
1054,832,22,15,1:44.248,104248,
1054,832,23,11,1:23.651,83651,
1054,832,24,11,1:24.005,84005,
1054,832,25,10,1:23.072,83072,
1054,832,26,9,1:23.436,83436,
1054,832,27,9,1:23.722,83722,
1054,832,28,9,1:23.546,83546,
1054,832,29,9,1:23.452,83452,
1054,832,30,9,1:23.390,83390,
1054,832,31,9,1:23.361,83361,
