resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25006,1054,1,131,44,2,1,1,1,25,66,1:34:31.421,5671421,47,4,1:20.933,206.971,1
25007,1054,830,9,33,3,2,2,2,18,66,29.148,5700569,62,3,1:20.695,207.581,1
25008,1054,822,131,77,1,3,3,3,16,66,33.530,5704951,65,1,1:19.865,209.738,1
25009,1054,815,9,11,4,4,4,4,12,66,39.735,5711156,55,2,1:20.643,207.715,1
25010,1054,846,1,4,7,5,5,5,10,66,51.369,5722790,55,7,1:21.696,205.038,1
25011,1054,844,6,16,8,6,6,6,8,66,55.781,5727202,63,6,1:21.496,205.541,1
25012,1054,839,214,31,6,7,7,7,6,66,+1:03.749,5735170,34,8,1:21.886,204.562,1
25013,1054,4,214,14,13,8,8,8,4,66,+1:04.808,5673229,66,5,1:21.032,206.718,1
25014,1054,817,1,3,16,9,9,9,2,66,+1:15.369,5746790,64,10,1:21.987,204.310,1
25015,1054,842,213,10,9,10,10,10,1,66,+1:16.463,5747884,65,11,1:22.014,204.243,1
25016,1054,832,6,55,5,11,11,11,0,66,+1:18.955,5750376,60,14,1:22.325,203.471,1
25017,1054,841,51,99,12,12,12,12,0,65,\N,\N,60,13,1:22.167,203.862,11
25018,1054,20,117,5,10,13,13,13,0,65,\N,\N,60,15,1:22.416,203.246,11
25019,1054,840,117,18,17,14,14,14,0,65,\N,\N,59,9,1:21.970,204.352,11
25020,1054,852,213,22,14,15,15,15,0,65,\N,\N,61,12,1:22.058,204.133,11
25021,1054,847,3,63,11,16,16,16,0,65,\N,\N,60,16,1:22.654,202.661,11
25022,1054,854,210,47,19,17,17,17,0,64,\N,\N,61,17,1:22.755,202.414,12
25023,1054,849,3,6,18,18,18,18,0,64,\N,\N,60,18,1:23.155,201.440,12
25024,1054,853,210,9,20,19,19,19,0,64,\N,\N,64,19,1:23.641,200.270,12
25025,1054,8,51,7,15,\N,R,20,0,1,\N,\N,\N,0,\N,\N,130
