raceId,driverId,lap,position,time,milliseconds,
1051,1,1,1,1:33.760,93760,
1051,1,2,1,1:30.198,90198,
1051,1,3,1,1:30.575,90575,
1051,1,4,1,1:28.807,88807,
1051,1,5,1,1:28.815,88815,
1051,1,6,1,1:28.301,88301,
1051,1,7,1,1:28.207,88207,
1051,1,8,1,1:28.359,88359,
1051,1,9,1,1:28.127,88127,
1051,1,10,1,1:27.906,87906,
1051,1,11,1,1:28.080,88080,
1051,1,12,1,1:27.943,87943,
1051,1,13,1,1:27.982,87982,
1051,1,14,1,1:27.943,87943,
1051,1,15,1,1:27.779,87779,
1051,1,16,1,1:27.625,87625,
1051,1,17,1,1:27.514,87514,
1051,1,18,1,1:47.391,107391,
1051,1,19,1,1:34.158,94158,
1051,1,20,1,1:27.495,87495,
1051,1,21,1,1:27.773,87773,
1051,1,22,1,1:27.145,87145,
1051,1,23,1,1:27.423,87423,
1051,1,24,1,1:27.862,87862,
1051,1,25,1,1:26.996,86996,
1051,1,26,1,1:27.018,87018,
1051,1,27,1,1:27.529,87529,
1051,1,28,1,1:27.477,87477,
1051,1,29,1,1:26.840,86840,
1051,1,30,1,1:27.158,87158,
1051,1,31,1,1:27.742,87742,
1051,1,32,1,1:27.074,87074,
1051,1,33,1,1:26.470,86470,
1051,1,34,1,1:26.982,86982,
1051,1,35,1,1:26.554,86554,
1051,1,36,1,1:26.669,86669,
1051,1,37,1,1:26.501,86501,
1051,1,38,1,1:26.919,86919,
1051,1,39,1,1:26.720,86720,
1051,1,40,1,1:26.876,86876,
1051,1,41,1,1:26.648,86648,
1051,1,42,1,1:46.851,106851,
1051,1,43,1,1:32.048,92048,
1051,1,44,1,1:26.361,86361,
1051,1,45,1,1:25.295,85295,
1051,1,46,1,1:26.043,86043,
1051,1,47,1,1:25.923,85923,
1051,1,48,1,1:25.963,85963,
1051,1,49,1,1:26.499,86499,
1051,1,50,1,1:25.084,85084,
1051,1,51,1,1:25.978,85978,
1051,1,52,1,1:25.668,85668,
1051,1,53,1,1:25.956,85956,
1051,1,54,1,1:26.394,86394,
1051,1,55,1,1:36.904,96904,
1051,1,56,1,1:49.716,109716,
