resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25346,1051,1,131,44,1,1,1,1,25,57,1:24:28.471,5068471,50,2,1:25.084,227.633,1
25347,1051,830,9,33,7,2,2,2,19,57,25.743,5094214,57,1,1:23.196,232.799,1
25348,1051,4,214,14,3,3,3,3,15,57,59.457,5127928,48,10,1:26.682,223.437,1
25349,1051,815,9,11,11,4,4,4,12,57,+1:02.306,5130777,49,3,1:25.613,226.227,1
25350,1051,839,214,31,9,5,5,5,10,57,+1:20.570,5149041,46,13,1:27.061,222.464,1
25351,1051,840,117,18,12,6,6,6,8,57,+1:21.274,5149745,44,17,1:27.356,221.713,1
25352,1051,832,6,55,5,7,7,7,6,57,+1:21.911,5150382,46,9,1:26.570,223.726,1
25353,1051,844,6,16,13,8,8,8,4,57,+1:23.126,5151597,46,8,1:26.555,223.765,1
25354,1051,846,1,4,4,9,9,9,2,56,\N,\N,51,4,1:25.746,225.876,11
25355,1051,20,117,5,10,10,10,10,1,56,\N,\N,53,7,1:26.434,224.078,11
25356,1051,842,213,10,2,11,11,11,0,56,\N,\N,46,11,1:27.019,222.572,11
25357,1051,817,1,3,14,12,12,12,0,56,\N,\N,50,14,1:27.198,222.115,11
25358,1051,852,213,22,8,13,13,13,0,56,\N,\N,50,12,1:27.043,222.510,11
25359,1051,8,51,7,16,14,14,14,0,56,\N,\N,53,6,1:26.358,224.275,11
25360,1051,841,51,99,18,15,15,15,0,56,\N,\N,40,18,1:27.823,220.534,11
25361,1051,854,210,47,19,16,16,16,0,56,\N,\N,46,19,1:28.412,219.065,11
25362,1051,847,3,63,15,17,17,17,0,55,\N,\N,55,5,1:25.768,225.818,12
25363,1051,853,210,9,20,18,18,18,0,55,\N,\N,55,16,1:27.340,221.754,12
25364,1051,849,3,6,17,\N,R,19,0,50,\N,\N,44,20,1:28.732,218.275,29
25365,1051,822,131,77,6,\N,R,20,0,48,\N,\N,39,15,1:27.246,221.992,137
