raceId,driverId,lap,position,time,milliseconds,
1066,832,1,1,1:42.997,102997,
1066,832,2,1,1:42.076,102076,
1066,832,3,1,1:41.668,101668,
1066,832,4,1,1:41.533,101533,
1066,832,5,1,1:41.396,101396,
1066,832,6,1,1:41.734,101734,
1066,832,7,1,1:42.291,102291,
1066,832,8,1,1:42.444,102444,
1066,832,9,1,1:42.426,102426,
1066,832,10,1,1:42.336,102336,
1066,832,11,1,1:42.566,102566,
1066,832,12,1,1:42.810,102810,
1066,832,13,2,1:43.871,103871,
1066,832,14,3,1:48.223,108223,
1066,832,15,13,2:01.968,121968,
1066,832,16,11,1:40.860,100860,
1066,832,17,11,1:41.118,101118,
1066,832,18,11,1:40.677,100677,
1066,832,19,11,1:40.797,100797,
1066,832,20,11,1:40.941,100941,
1066,832,21,11,1:41.242,101242,
1066,832,22,11,1:41.239,101239,
1066,832,23,10,1:41.272,101272,
1066,832,24,10,1:41.403,101403,
1066,832,25,10,1:41.402,101402,
1066,832,26,9,1:41.356,101356,
1066,832,27,6,1:40.747,100747,
1066,832,28,6,1:40.792,100792,
1066,832,29,6,1:41.328,101328,
1066,832,30,7,1:41.646,101646,
1066,832,31,7,1:41.384,101384,
1066,832,32,7,1:41.488,101488,
1066,832,33,6,1:41.332,101332,
1066,832,34,6,1:40.053,100053,
1066,832,35,6,1:39.557,99557,
1066,832,36,5,1:39.900,99900,
1066,832,37,3,1:39.391,99391,
1066,832,38,3,1:39.646,99646,
1066,832,39,3,1:39.446,99446,
1066,832,40,3,1:39.294,99294,
1066,832,41,3,1:39.665,99665,
1066,832,42,3,1:39.725,99725,
1066,832,43,3,1:39.528,99528,
1066,832,44,3,1:39.552,99552,
1066,832,45,3,1:40.005,100005,
1066,832,46,3,1:40.703,100703,
1066,832,47,4,1:48.246,108246,
1066,832,48,7,2:12.870,132870,
1066,832,49,8,2:10.409,130409,
1066,832,50,6,1:53.285,113285,
1066,832,51,3,1:53.632,113632,
1066,832,52,3,1:53.720,113720,
1066,832,53,3,1:53.486,113486,
1066,846,1,2,1:44.272,104272,
1066,846,2,2,1:42.204,102204,
1066,846,3,2,1:41.697,101697,
1066,846,4,2,1:41.840,101840,
1066,846,5,2,1:41.739,101739,
1066,846,6,2,1:41.883,101883,
1066,846,7,2,1:41.804,101804,
1066,846,8,2,1:41.755,101755,
1066,846,9,2,1:42.202,102202,
1066,846,10,2,1:42.278,102278,
1066,846,11,2,1:43.453,103453,
1066,846,12,2,1:42.558,102558,
1066,846,13,1,1:41.142,101142,
1066,846,14,1,1:41.531,101531,
1066,846,15,1,1:41.361,101361,
1066,846,16,1,1:41.175,101175,
1066,846,17,1,1:40.829,100829,
1066,846,18,1,1:40.863,100863,
1066,846,19,1,1:40.849,100849,
1066,846,20,1,1:40.866,100866,
1066,846,21,1,1:40.689,100689,
1066,846,22,1,1:40.906,100906,
1066,846,23,1,1:40.788,100788,
1066,846,24,1,1:40.638,100638,
1066,846,25,1,1:41.057,101057,
1066,846,26,1,1:41.118,101118,
1066,846,27,1,1:40.933,100933,
1066,846,28,1,1:45.622,105622,
1066,846,29,4,1:59.439,119439,
1066,846,30,4,1:38.642,98642,
1066,846,31,4,1:38.889,98889,
1066,846,32,4,1:38.788,98788,
1066,846,33,4,1:39.458,99458,
1066,846,34,3,1:38.649,98649,
1066,846,35,3,1:38.797,98797,
1066,846,36,2,1:39.074,99074,
1066,846,37,1,1:38.910,98910,
1066,846,38,1,1:38.118,98118,
1066,846,39,1,1:37.423,97423,
1066,846,40,1,1:37.834,97834,
1066,846,41,1,1:37.913,97913,
1066,846,42,1,1:37.873,97873,
1066,846,43,1,1:37.755,97755,
1066,846,44,1,1:37.840,97840,
1066,846,45,1,1:38.067,98067,
1066,846,46,1,1:39.120,99120,
1066,846,47,1,1:42.783,102783,
1066,846,48,1,1:54.639,114639,
1066,846,49,1,1:52.785,112785,
1066,846,50,1,1:57.502,117502,
1066,846,51,4,3:11.081,191081,
1066,846,52,8,2:16.377,136377,
1066,846,53,7,1:52.417,112417,
1066,847,1,3,1:46.318,106318,
1066,847,2,3,1:42.795,102795,
1066,847,3,3,1:42.882,102882,
1066,847,4,3,1:42.790,102790,
1066,847,5,3,1:42.657,102657,
1066,847,6,3,1:42.262,102262,
1066,847,7,3,1:42.006,102006,
1066,847,8,3,1:42.043,102043,
1066,847,9,3,1:42.075,102075,
1066,847,10,3,1:42.197,102197,
1066,847,11,3,1:42.260,102260,
1066,847,12,3,1:42.281,102281,
1066,847,13,6,1:46.855,106855,
1066,847,14,15,2:02.549,122549,
1066,847,15,15,1:41.768,101768,
1066,847,16,13,1:41.346,101346,
1066,847,17,13,1:41.377,101377,
1066,847,18,13,1:41.439,101439,
1066,847,19,13,1:41.915,101915,
1066,847,20,13,1:41.608,101608,
1066,847,21,13,1:41.205,101205,
1066,847,22,13,1:41.614,101614,
1066,847,23,12,1:41.632,101632,
1066,847,24,12,1:41.365,101365,
1066,847,25,12,1:41.372,101372,
1066,847,26,13,1:42.247,102247,
1066,847,27,11,1:41.856,101856,
1066,847,28,12,1:41.854,101854,
1066,847,29,11,1:41.006,101006,
1066,847,30,11,1:40.869,100869,
1066,847,31,11,1:40.739,100739,
1066,847,32,11,1:40.731,100731,
1066,847,33,11,1:40.685,100685,
1066,847,34,10,1:40.673,100673,
1066,847,35,10,1:40.727,100727,
1066,847,36,9,1:40.789,100789,
1066,847,37,9,1:40.704,100704,
1066,847,38,9,1:40.599,100599,
1066,847,39,9,1:40.660,100660,
1066,847,40,9,1:40.596,100596,
1066,847,41,9,1:40.804,100804,
1066,847,42,10,1:42.208,102208,
1066,847,43,10,1:40.881,100881,
1066,847,44,10,1:41.102,101102,
1066,847,45,10,1:41.091,101091,
1066,847,46,11,1:43.194,103194,
1066,847,47,13,1:58.652,118652,
1066,847,48,14,2:12.545,132545,
1066,847,49,13,1:54.598,114598,
1066,847,50,11,1:57.840,117840,
1066,847,51,10,1:59.971,119971,
1066,847,52,10,1:58.220,118220,
1066,847,53,10,1:57.100,117100,
