resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25246,1066,1,131,44,4,1,1,1,25,53,1:30:41.001,5441001,43,2,1:37.575,215.760,1
25247,1066,830,9,33,20,2,2,2,18,53,53.271,5494272,28,5,1:38.396,213.959,1
25248,1066,832,6,55,2,3,3,3,15,53,+1:02.475,5503476,40,12,1:39.294,212.024,1
25249,1066,817,1,3,5,4,4,4,12,53,+1:05.607,5506608,24,9,1:39.124,212.388,1
25250,1066,822,131,77,16,5,5,5,10,53,+1:07.533,5508534,31,3,1:38.216,214.352,1
25251,1066,4,214,14,6,6,6,6,8,53,+1:21.321,5522322,44,6,1:38.686,213.331,1
25252,1066,846,1,4,1,7,7,7,7,53,+1:27.224,5528225,39,1,1:37.423,216.096,1
25253,1066,8,51,7,13,8,8,8,4,53,+1:28.955,5529956,34,16,1:40.289,209.921,1
25254,1066,815,9,11,8,9,9,9,2,53,+1:30.076,5531077,45,10,1:39.215,212.193,1
25255,1066,847,3,63,3,10,10,10,1,53,+1:40.551,5541552,40,18,1:40.596,209.280,1
25256,1066,840,117,18,7,11,11,11,0,53,+1:46.198,5547199,35,17,1:40.464,209.555,1
25257,1066,20,117,5,10,12,12,12,0,52,\N,\N,44,11,1:39.251,212.116,11
25258,1066,842,213,10,11,13,13,13,0,52,\N,\N,35,4,1:38.279,214.214,11
25259,1066,839,214,31,9,14,14,14,0,52,\N,\N,34,19,1:40.598,209.276,11
25260,1066,844,6,16,19,15,15,15,0,52,\N,\N,45,7,1:38.994,212.667,11
25261,1066,841,51,99,17,16,16,16,0,52,\N,\N,39,8,1:39.058,212.530,11
25262,1066,852,213,22,12,17,17,17,0,52,\N,\N,42,13,1:39.960,210.612,11
25263,1066,853,210,9,15,18,18,18,0,51,\N,\N,24,20,1:41.713,206.982,12
25264,1066,849,3,6,18,19,19,19,0,47,\N,\N,42,14,1:40.000,210.528,3
25265,1066,854,210,47,14,\N,R,20,0,32,\N,\N,22,15,1:40.276,209.948,44
