raceId,driverId,lap,position,time,milliseconds,
1072,1,1,1,1:35.234,95234,
1072,1,2,1,1:34.020,94020,
1072,1,3,1,1:33.782,93782,
1072,1,4,1,1:33.792,93792,
1072,1,5,1,1:33.397,93397,
1072,1,6,1,1:33.260,93260,
1072,1,7,1,1:33.720,93720,
1072,1,8,1,1:33.214,93214,
1072,1,9,1,1:33.150,93150,
1072,1,10,1,2:02.043,122043,
1072,1,11,2,3:00.569,180569,
1072,1,12,2,2:48.065,168065,
1072,1,13,2,2:55.505,175505,
1072,1,14,2,19:54.857,1194857,
1072,1,15,3,3:34.902,214902,
1072,1,16,2,21:37.704,1297704,
1072,1,17,3,2:37.547,157547,
1072,1,18,2,1:33.056,93056,
1072,1,19,2,1:32.974,92974,
1072,1,20,2,1:32.532,92532,
1072,1,21,2,1:32.130,92130,
1072,1,22,2,1:32.674,92674,
1072,1,23,2,1:40.670,100670,
1072,1,24,2,1:56.641,116641,
1072,1,25,2,1:31.502,91502,
1072,1,26,2,1:31.809,91809,
1072,1,27,2,1:32.669,92669,
1072,1,28,2,1:44.229,104229,
1072,1,29,2,1:43.184,103184,
1072,1,30,2,2:07.028,127028,
1072,1,31,2,2:07.402,127402,
1072,1,32,2,2:06.321,126321,
1072,1,33,2,1:37.237,97237,
1072,1,34,2,1:31.411,91411,
1072,1,35,2,1:31.199,91199,
1072,1,36,2,1:43.095,103095,
1072,1,37,2,1:37.056,97056,
1072,1,38,2,1:32.069,92069,
1072,1,39,2,1:31.549,91549,
1072,1,40,2,1:31.536,91536,
1072,1,41,2,1:31.089,91089,
1072,1,42,2,1:31.964,91964,
1072,1,43,1,1:31.896,91896,
1072,1,44,1,1:31.338,91338,
1072,1,45,1,1:30.854,90854,
1072,1,46,1,1:31.610,91610,
1072,1,47,1,1:30.734,90734,
1072,1,48,1,1:31.588,91588,
1072,1,49,1,1:33.707,93707,
1072,1,50,1,1:35.604,95604,
1072,822,1,2,1:36.272,96272,
1072,822,2,2,1:34.048,94048,
1072,822,3,2,1:34.138,94138,
1072,822,4,2,1:33.585,93585,
1072,822,5,2,1:33.676,93676,
1072,822,6,2,1:33.465,93465,
1072,822,7,2,1:33.639,93639,
1072,822,8,2,1:33.655,93655,
1072,822,9,2,1:33.701,93701,
1072,822,10,3,2:07.440,127440,
1072,822,11,3,2:53.975,173975,
1072,822,12,3,2:47.772,167772,
1072,822,13,3,2:56.937,176937,
1072,822,14,3,19:53.967,1193967,
1072,822,15,5,3:38.147,218147,
1072,822,16,5,21:43.872,1303872,
1072,822,17,5,2:28.734,148734,
1072,822,18,5,1:34.794,94794,
1072,822,19,5,1:34.141,94141,
1072,822,20,5,1:33.489,93489,
1072,822,21,5,1:33.908,93908,
1072,822,22,5,1:33.288,93288,
1072,822,23,5,1:47.025,107025,
1072,822,24,5,1:52.013,112013,
1072,822,25,5,1:33.299,93299,
1072,822,26,5,1:34.453,94453,
1072,822,27,5,1:42.212,102212,
