resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25366,1072,1,131,44,1,1,1,1,26,50,2:06:15.118,7575118,47,1,1:30.734,244.962,1
25367,1072,830,9,33,3,2,2,2,18,50,11.825,7586943,35,3,1:31.488,242.943,1
25368,1072,822,131,77,2,3,3,3,15,50,27.531,7602649,47,2,1:31.408,243.155,1
25369,1072,839,214,31,9,4,4,4,12,50,27.633,7602751,47,6,1:31.797,242.125,1
25370,1072,817,1,3,11,5,5,5,10,50,40.121,7615239,43,11,1:32.716,239.725,1
25371,1072,842,213,10,6,6,6,6,8,50,41.613,7616731,46,9,1:32.297,240.813,1
25372,1072,844,6,16,4,7,7,7,6,50,44.475,7619593,46,4,1:31.601,242.643,1
25373,1072,832,6,55,15,8,8,8,4,50,46.606,7621724,37,7,1:31.851,241.983,1
25374,1072,841,51,99,10,9,9,9,2,50,58.505,7633623,37,15,1:32.865,239.340,1
25375,1072,846,1,4,7,10,10,10,1,50,+1:01.358,7636476,49,8,1:31.914,241.817,1
25376,1072,840,117,18,18,11,11,11,0,50,+1:17.212,7652330,45,14,1:32.804,239.498,1
25377,1072,849,3,6,16,12,12,12,0,50,+1:23.249,7658367,49,12,1:32.751,239.635,1
25378,1072,4,214,14,13,13,13,13,0,49,\N,\N,46,5,1:31.633,242.558,11
25379,1072,852,213,22,8,14,14,14,0,49,\N,\N,44,10,1:32.506,240.269,11
25380,1072,8,51,7,12,15,15,15,0,49,\N,\N,45,13,1:32.778,239.565,11
25381,1072,20,117,5,17,\N,R,16,0,44,\N,\N,41,16,1:34.030,236.375,130
25382,1072,815,9,11,5,\N,R,17,0,14,\N,\N,9,17,1:34.138,236.104,4
25383,1072,853,210,9,20,\N,R,18,0,14,\N,\N,7,20,1:37.043,229.036,4
25384,1072,847,3,63,14,\N,R,19,0,14,\N,\N,7,19,1:36.130,231.211,4
25385,1072,854,210,47,19,\N,R,20,0,8,\N,\N,8,18,1:36.043,231.421,3
