resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25026,1055,1,131,44,1,1,1,1,25,66,1:33:07.680,5587680,54,5,1:20.665,208.640,1
25027,1055,830,9,33,2,2,2,2,19,66,15.841,5603521,62,1,1:18.149,215.357,1
25028,1055,822,131,77,3,3,3,3,15,66,26.610,5614290,65,2,1:19.430,211.884,1
25029,1055,844,6,16,4,4,4,4,12,66,54.616,5642296,64,4,1:20.459,209.174,1
25030,1055,815,9,11,8,5,5,5,10,66,+1:03.671,5651351,60,3,1:19.483,211.743,1
25031,1055,817,1,3,7,6,6,6,8,66,+1:13.768,5661448,60,10,1:21.853,205.612,1
25032,1055,832,6,55,6,7,7,7,6,66,+1:14.670,5662350,53,9,1:21.568,206.330,1
25033,1055,846,1,4,9,8,8,8,4,65,\N,\N,56,7,1:21.279,207.064,11
25034,1055,839,214,31,5,9,9,9,2,65,\N,\N,46,18,1:23.311,202.014,11
25035,1055,842,213,10,12,10,10,10,1,65,\N,\N,64,8,1:21.375,206.820,11
25036,1055,840,117,18,11,11,11,11,0,65,\N,\N,47,11,1:22.607,203.735,11
25037,1055,8,51,7,17,12,12,12,0,65,\N,\N,54,15,1:22.868,203.094,11
25038,1055,20,117,5,13,13,13,13,0,65,\N,\N,56,14,1:22.820,203.211,11
25039,1055,847,3,63,15,14,14,14,0,65,\N,\N,30,17,1:23.208,202.264,11
25040,1055,841,51,99,14,15,15,15,0,65,\N,\N,42,13,1:22.802,203.255,11
25041,1055,849,3,6,19,16,16,16,0,65,\N,\N,57,16,1:22.905,203.003,11
25042,1055,4,214,14,10,17,17,17,0,65,\N,\N,63,6,1:21.182,207.311,11
25043,1055,854,210,47,18,18,18,18,0,64,\N,\N,54,12,1:22.637,203.661,12
25044,1055,853,210,9,20,19,19,19,0,64,\N,\N,45,19,1:24.040,200.261,12
25045,1055,852,213,22,16,\N,R,20,0,6,\N,\N,5,20,1:24.825,198.408,10
