raceId,driverId,lap,position,time,milliseconds,
1058,830,1,1,1:12.767,72767,
1058,830,2,1,1:10.031,70031,
1058,830,3,1,1:09.834,69834,
1058,830,4,1,1:09.606,69606,
1058,830,5,1,1:09.666,69666,
1058,830,6,1,1:09.855,69855,
1058,830,7,1,1:09.872,69872,
1058,830,8,1,1:09.885,69885,
1058,830,9,1,1:09.747,69747,
1058,830,10,1,1:09.887,69887,
1058,830,11,1,1:09.901,69901,
1058,830,12,1,1:09.888,69888,
1058,830,13,1,1:09.747,69747,
1058,830,14,1,1:09.611,69611,
1058,830,15,1,1:09.713,69713,
1058,830,16,1,1:09.652,69652,
1058,830,17,1,1:09.737,69737,
1058,830,18,1,1:09.825,69825,
1058,830,19,1,1:10.014,70014,
1058,830,20,1,1:09.898,69898,
1058,830,21,1,1:09.585,69585,
1058,830,22,1,1:09.564,69564,
1058,830,23,1,1:09.760,69760,
1058,830,24,1,1:09.930,69930,
1058,830,25,1,1:09.940,69940,
1058,830,26,1,1:09.852,69852,
1058,830,27,1,1:09.852,69852,
1058,830,28,1,1:10.257,70257,
1058,830,29,1,1:13.454,73454,
1058,830,30,1,1:25.881,85881,
1058,830,31,1,1:09.041,69041,
1058,830,32,1,1:09.166,69166,
1058,830,33,1,1:08.992,68992,
1058,830,34,1,1:08.782,68782,
1058,830,35,1,1:08.670,68670,
1058,830,36,1,1:08.731,68731,
1058,830,37,1,1:08.711,68711,
1058,830,38,1,1:08.669,68669,
1058,830,39,1,1:08.792,68792,
1058,830,40,1,1:08.541,68541,
1058,830,41,1,1:08.594,68594,
1058,830,42,1,1:08.445,68445,
1058,830,43,1,1:08.761,68761,
1058,830,44,1,1:08.399,68399,
1058,830,45,1,1:08.523,68523,
1058,830,46,1,1:08.591,68591,
1058,830,47,1,1:08.459,68459,
1058,830,48,1,1:08.710,68710,
1058,830,49,1,1:08.942,68942,
1058,830,50,1,1:08.536,68536,
1058,830,51,1,1:08.728,68728,
1058,830,52,1,1:08.726,68726,
1058,830,53,1,1:09.170,69170,
1058,830,54,1,1:08.825,68825,
1058,830,55,1,1:08.695,68695,
1058,830,56,1,1:08.849,68849,
1058,830,57,1,1:08.787,68787,
1058,830,58,1,1:08.609,68609,
1058,830,59,1,1:08.809,68809,
1058,830,60,1,1:08.753,68753,
1058,830,61,1,1:08.742,68742,
1058,830,62,1,1:09.148,69148,
1058,830,63,1,1:08.881,68881,
1058,830,64,1,1:08.978,68978,
1058,830,65,1,1:08.841,68841,
1058,830,66,1,1:08.772,68772,
1058,830,67,1,1:09.282,69282,
1058,830,68,1,1:08.017,68017,
1058,830,69,1,1:09.167,69167,
1058,830,70,1,1:09.301,69301,
1058,830,71,1,1:10.579,70579,
1058,1,1,2,1:13.718,73718,
1058,1,2,2,1:10.511,70511,
1058,1,3,2,1:10.045,70045,
1058,1,4,2,1:09.945,69945,
1058,1,5,2,1:09.865,69865,
1058,1,6,2,1:10.428,70428,
1058,1,7,2,1:09.846,69846,
1058,1,8,2,1:09.921,69921,
1058,1,9,2,1:09.923,69923,
1058,1,10,2,1:09.752,69752,
1058,1,11,2,1:10.079,70079,
1058,1,12,2,1:09.795,69795,
1058,1,13,2,1:09.695,69695,
1058,1,14,2,1:09.693,69693,
1058,1,15,2,1:10.079,70079,
1058,1,16,2,1:09.938,69938,
1058,1,17,2,1:09.892,69892,
1058,1,18,2,1:10.212,70212,
1058,1,19,2,1:10.267,70267,
1058,1,20,2,1:09.866,69866,
1058,1,21,2,1:09.613,69613,
1058,1,22,2,1:09.877,69877,
1058,1,23,2,1:09.767,69767,
1058,1,24,2,1:09.904,69904,
1058,1,25,2,1:10.594,70594,
1058,1,26,2,1:09.635,69635,
1058,1,27,2,1:10.234,70234,
1058,1,28,2,1:13.529,73529,
1058,1,29,2,1:25.983,85983,
1058,1,30,2,1:09.066,69066,
1058,1,31,2,1:09.145,69145,
1058,1,32,2,1:09.287,69287,
1058,1,33,2,1:08.362,68362,
1058,1,34,2,1:09.132,69132,
1058,1,35,2,1:08.710,68710,
1058,1,36,2,1:08.477,68477,
1058,1,37,2,1:08.517,68517,
1058,1,38,2,1:08.764,68764,
1058,1,39,2,1:08.922,68922,
1058,1,40,2,1:08.792,68792,
1058,1,41,2,1:08.553,68553,
1058,1,42,2,1:08.482,68482,
1058,1,43,2,1:08.880,68880,
1058,1,44,2,1:08.633,68633,
1058,1,45,2,1:09.365,69365,
1058,1,46,2,1:08.764,68764,
1058,1,47,2,1:08.837,68837,
1058,1,48,2,1:08.888,68888,
1058,1,49,2,1:08.934,68934,
