raceId,driverId,lap,position,time,milliseconds,
1067,822,1,1,1:35.354,95354,
1067,822,2,1,1:34.359,94359,
1067,822,3,1,1:34.493,94493,
1067,822,4,1,1:34.654,94654,
1067,822,5,1,1:34.716,94716,
1067,822,6,1,1:34.851,94851,
1067,822,7,1,1:34.647,94647,
1067,822,8,1,1:34.760,94760,
1067,822,9,1,1:34.371,94371,
1067,822,10,1,1:34.562,94562,
1067,822,11,1,1:34.281,94281,
1067,822,12,1,1:33.963,93963,
1067,822,13,1,1:33.679,93679,
1067,822,14,1,1:33.691,93691,
1067,822,15,1,1:33.803,93803,
1067,822,16,1,1:33.735,93735,
1067,822,17,1,1:33.355,93355,
1067,822,18,1,1:33.146,93146,
1067,822,19,1,1:33.791,93791,
1067,822,20,1,1:33.359,93359,
1067,822,21,1,1:33.436,93436,
1067,822,22,1,1:33.302,93302,
1067,822,23,1,1:33.336,93336,
1067,822,24,1,1:33.883,93883,
1067,822,25,1,1:34.323,94323,
1067,822,26,1,1:33.575,93575,
1067,822,27,1,1:33.457,93457,
1067,822,28,1,1:33.411,93411,
1067,822,29,1,1:33.682,93682,
1067,822,30,1,1:34.109,94109,
1067,822,31,1,1:33.737,93737,
1067,822,32,1,1:33.885,93885,
1067,822,33,1,1:34.009,94009,
1067,822,34,1,1:34.646,94646,
1067,822,35,1,1:33.872,93872,
1067,822,36,1,1:34.019,94019,
1067,822,37,1,1:35.037,95037,
1067,822,38,2,1:53.841,113841,
1067,822,39,2,1:33.922,93922,
1067,822,40,2,1:33.949,93949,
1067,822,41,2,1:34.444,94444,
1067,822,42,2,1:33.869,93869,
1067,822,43,2,1:34.151,94151,
1067,822,44,2,1:34.697,94697,
1067,822,45,2,1:34.869,94869,
1067,822,46,2,1:35.253,95253,
1067,822,47,1,1:34.094,94094,
1067,822,48,1,1:33.753,93753,
1067,822,49,1,1:33.326,93326,
1067,822,50,1,1:32.896,92896,
1067,822,51,1,1:34.608,94608,
1067,822,52,1,1:33.119,93119,
1067,822,53,1,1:32.126,92126,
1067,822,54,1,1:32.427,92427,
1067,822,55,1,1:33.674,93674,
1067,822,56,1,1:31.023,91023,
1067,822,57,1,1:34.341,94341,
1067,822,58,1,1:30.432,90432,
1067,830,1,2,1:36.680,96680,
1067,830,2,2,1:34.575,94575,
1067,830,3,2,1:34.484,94484,
1067,830,4,2,1:34.787,94787,
1067,830,5,2,1:34.629,94629,
1067,830,6,2,1:35.049,95049,
1067,830,7,2,1:34.976,94976,
1067,830,8,2,1:34.764,94764,
1067,830,9,2,1:34.662,94662,
1067,830,10,2,1:34.601,94601,
1067,830,11,2,1:34.470,94470,
1067,830,12,2,1:34.443,94443,
1067,830,13,2,1:34.154,94154,
1067,830,14,2,1:33.822,93822,
1067,830,15,2,1:33.629,93629,
1067,830,16,2,1:33.386,93386,
1067,830,17,2,1:33.282,93282,
1067,830,18,2,1:33.181,93181,
1067,830,19,2,1:33.263,93263,
1067,830,20,2,1:33.356,93356,
1067,830,21,2,1:33.392,93392,
1067,830,22,2,1:33.545,93545,
1067,830,23,2,1:33.289,93289,
1067,830,24,2,1:33.829,93829,
1067,830,25,2,1:34.241,94241,
1067,830,26,2,1:33.775,93775,
1067,830,27,2,1:33.901,93901,
1067,830,28,2,1:33.914,93914,
1067,830,29,2,1:33.932,93932,
1067,830,30,2,1:34.005,94005,
1067,830,31,2,1:34.206,94206,
1067,830,32,2,1:34.182,94182,
1067,830,33,2,1:34.141,94141,
1067,830,34,2,1:34.513,94513,
1067,830,35,2,1:35.029,95029,
1067,830,36,2,1:34.948,94948,
1067,830,37,3,1:51.505,111505,
1067,830,38,3,1:35.404,95404,
1067,830,39,3,1:34.933,94933,
1067,830,40,3,1:34.618,94618,
1067,830,41,3,1:34.500,94500,
1067,830,42,3,1:34.357,94357,
1067,830,43,3,1:34.365,94365,
1067,830,44,3,1:34.740,94740,
1067,830,45,3,1:34.877,94877,
1067,830,46,3,1:34.312,94312,
1067,830,47,3,1:34.251,94251,
1067,830,48,2,1:34.105,94105,
1067,830,49,2,1:34.191,94191,
1067,830,50,2,1:33.398,93398,
1067,830,51,2,1:33.343,93343,
1067,830,52,2,1:33.627,93627,
1067,830,53,2,1:32.759,92759,
1067,830,54,2,1:33.189,93189,
1067,830,55,2,1:32.879,92879,
1067,830,56,2,1:33.822,93822,
1067,830,57,2,1:34.427,94427,
1067,830,58,2,1:34.050,94050,
1067,844,1,3,1:38.086,98086,
1067,844,2,3,1:34.796,94796,
1067,844,3,3,1:34.866,94866,
1067,844,4,3,1:34.740,94740,
1067,844,5,3,1:34.779,94779,
1067,844,6,3,1:35.049,95049,
1067,844,7,3,1:34.846,94846,
1067,844,8,3,1:34.673,94673,
1067,844,9,3,1:34.652,94652,
1067,844,10,3,1:34.946,94946,
1067,844,11,3,1:34.232,94232,
1067,844,12,3,1:34.479,94479,
1067,844,13,3,1:33.872,93872,
1067,844,14,3,1:33.825,93825,
1067,844,15,3,1:33.548,93548,
1067,844,16,3,1:34.149,94149,
1067,844,17,3,1:33.349,93349,
1067,844,18,3,1:33.332,93332,
1067,844,19,3,1:33.223,93223,
1067,844,20,3,1:33.258,93258,
1067,844,21,3,1:33.541,93541,
1067,844,22,3,1:33.472,93472,
1067,844,23,3,1:32.981,92981,
1067,844,24,3,1:33.516,93516,
1067,844,25,3,1:34.302,94302,
1067,844,26,3,1:34.569,94569,
1067,844,27,3,1:33.570,93570,
1067,844,28,3,1:33.825,93825,
1067,844,29,3,1:33.748,93748,
1067,844,30,3,1:33.922,93922,
1067,844,31,3,1:34.125,94125,
1067,844,32,3,1:34.823,94823,
1067,844,33,3,1:33.828,93828,
1067,844,34,3,1:34.199,94199,
1067,844,35,3,1:35.106,95106,
1067,844,36,3,1:34.362,94362,
1067,844,37,2,1:37.807,97807,
1067,844,38,1,1:35.924,95924,
1067,844,39,1,1:34.472,94472,
1067,844,40,1,1:34.582,94582,
1067,844,41,1,1:34.410,94410,
1067,844,42,1,1:34.538,94538,
1067,844,43,1,1:36.054,96054,
1067,844,44,1,1:36.551,96551,
1067,844,45,1,1:35.502,95502,
1067,844,46,1,1:35.751,95751,
1067,844,47,2,1:38.124,98124,
1067,844,48,4,1:54.102,114102,
1067,844,49,4,1:33.576,93576,
1067,844,50,4,1:34.606,94606,
1067,844,51,4,1:36.276,96276,
1067,844,52,4,1:36.026,96026,
1067,844,53,4,1:34.314,94314,
1067,844,54,4,1:33.885,93885,
1067,844,55,4,1:33.415,93415,
1067,844,56,4,1:32.752,92752,
1067,844,57,4,1:32.737,92737,
1067,844,58,4,1:33.924,93924,
1067,815,1,4,1:39.250,99250,
1067,815,2,4,1:35.035,95035,
1067,815,3,4,1:35.240,95240,
1067,815,4,4,1:34.859,94859,
1067,815,5,4,1:35.129,95129,
1067,815,6,4,1:34.558,94558,
1067,815,7,4,1:34.855,94855,
1067,815,8,4,1:35.107,95107,
1067,815,9,4,1:35.238,95238,
1067,815,10,4,1:35.034,95034,
1067,815,11,4,1:34.973,94973,
1067,815,12,4,1:34.505,94505,
1067,815,13,4,1:34.504,94504,
1067,815,14,4,1:34.744,94744,
1067,815,15,4,1:34.580,94580,
1067,815,16,4,1:34.267,94267,
1067,815,17,4,1:33.757,93757,
1067,815,18,4,1:33.996,93996,
1067,815,19,4,1:33.684,93684,
1067,815,20,4,1:33.991,93991,
1067,815,21,4,1:33.491,93491,
1067,815,22,4,1:33.586,93586,
1067,815,23,4,1:33.194,93194,
1067,815,24,4,1:33.334,93334,
1067,815,25,4,1:33.248,93248,
1067,815,26,4,1:34.285,94285,
1067,815,27,4,1:35.293,95293,
1067,815,28,4,1:35.022,95022,
1067,815,29,4,1:34.219,94219,
1067,815,30,4,1:35.234,95234,
1067,815,31,4,1:34.597,94597,
1067,815,32,4,1:35.005,95005,
1067,815,33,4,1:34.591,94591,
1067,815,34,5,1:36.852,96852,
1067,815,35,4,1:36.931,96931,
1067,815,36,4,1:34.445,94445,
1067,815,37,5,1:35.737,95737,
1067,815,38,6,1:52.328,112328,
1067,815,39,6,1:33.676,93676,
1067,815,40,5,1:34.077,94077,
1067,815,41,5,1:34.052,94052,
1067,815,42,5,1:34.461,94461,
1067,815,43,5,1:34.788,94788,
1067,815,44,5,1:34.918,94918,
1067,815,45,5,1:34.458,94458,
1067,815,46,5,1:34.135,94135,
1067,815,47,5,1:33.693,93693,
1067,815,48,5,1:34.840,94840,
1067,815,49,5,1:33.892,93892,
1067,815,50,5,1:33.586,93586,
1067,815,51,3,1:35.029,95029,
1067,815,52,3,1:32.844,92844,
1067,815,53,3,1:32.459,92459,
1067,815,54,3,1:32.574,92574,
1067,815,55,3,1:33.434,93434,
1067,815,56,3,1:32.768,92768,
1067,815,57,3,1:35.990,95990,
1067,815,58,3,1:33.202,93202,
1067,842,1,5,1:40.686,100686,
1067,842,2,5,1:35.001,95001,
1067,842,3,5,1:35.695,95695,
