resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25266,1067,822,131,77,1,1,1,1,26,58,1:31:04.103,5464103,58,1,1:30.432,212.500,1
25267,1067,830,9,33,2,2,2,2,18,58,14.584,5478687,53,9,1:32.759,207.169,1
25268,1067,815,9,11,6,3,3,3,15,58,33.471,5497574,53,4,1:32.459,207.841,1
25269,1067,844,6,16,3,4,4,4,12,58,37.814,5501917,57,8,1:32.737,207.218,1
25270,1067,1,131,44,11,5,5,5,10,58,41.812,5505915,52,10,1:32.763,207.160,1
25271,1067,842,213,10,4,6,6,6,8,58,44.292,5508395,50,11,1:32.814,207.046,1
25272,1067,846,1,4,7,7,7,7,6,58,47.213,5511316,50,3,1:32.446,207.870,1
25273,1067,832,6,55,19,8,8,8,4,58,51.526,5515629,49,2,1:31.921,209.057,1
25274,1067,840,117,18,8,9,9,9,2,58,+1:22.018,5546121,58,6,1:32.608,207.506,1
25275,1067,839,214,31,12,10,10,10,1,57,\N,\N,24,19,1:34.584,203.171,11
25276,1067,841,51,99,16,11,11,11,0,57,\N,\N,57,13,1:32.904,206.845,11
25277,1067,8,51,7,17,12,12,12,0,57,\N,\N,50,5,1:32.586,207.556,11
25278,1067,817,1,3,20,13,13,13,0,57,\N,\N,34,15,1:33.255,206.067,11
25279,1067,852,213,22,9,14,14,14,0,57,\N,\N,54,12,1:32.844,206.979,11
25280,1067,847,3,63,13,15,15,15,0,57,\N,\N,53,16,1:33.399,205.749,11
25281,1067,4,214,14,5,16,16,16,0,57,\N,\N,55,14,1:33.252,206.073,11
25282,1067,849,3,6,15,17,17,17,0,57,\N,\N,48,17,1:33.672,205.149,11
25283,1067,20,117,5,10,18,18,18,0,57,\N,\N,54,7,1:32.730,207.233,11
25284,1067,854,210,47,14,19,19,19,0,56,\N,\N,52,18,1:34.209,203.980,12
25285,1067,853,210,9,18,20,20,20,0,56,\N,\N,52,20,1:35.438,201.353,12
