raceId,driverId,lap,position,time,milliseconds,
1069,1,1,1,1:41.458,101458,
1069,1,2,1,1:42.040,102040,
1069,1,3,1,1:41.250,101250,
1069,1,4,1,1:41.071,101071,
1069,1,5,1,1:41.628,101628,
1069,1,6,1,1:41.906,101906,
1069,1,7,1,1:41.677,101677,
1069,1,8,1,1:41.763,101763,
1069,1,9,1,1:41.590,101590,
1069,1,10,1,1:41.732,101732,
1069,1,11,1,1:41.822,101822,
1069,1,12,1,1:42.073,102073,
1069,1,13,1,1:42.177,102177,
1069,1,14,2,2:01.383,121383,
1069,1,15,2,1:40.336,100336,
1069,1,16,2,1:40.808,100808,
1069,1,17,2,1:40.906,100906,
1069,1,18,2,1:40.559,100559,
1069,1,19,2,1:40.850,100850,
1069,1,20,2,1:40.432,100432,
1069,1,21,2,1:40.807,100807,
1069,1,22,2,1:40.768,100768,
1069,1,23,2,1:40.196,100196,
1069,1,24,2,1:40.422,100422,
1069,1,25,2,1:40.242,100242,
1069,1,26,2,1:40.878,100878,
1069,1,27,2,1:41.212,101212,
1069,1,28,2,1:50.366,110366,
1069,1,29,2,1:40.504,100504,
1069,1,30,1,1:40.081,100081,
1069,1,31,1,1:40.582,100582,
1069,1,32,1,1:40.866,100866,
1069,1,33,1,1:40.796,100796,
1069,1,34,1,1:41.465,101465,
1069,1,35,1,1:41.225,101225,
1069,1,36,1,1:41.373,101373,
1069,1,37,1,1:41.436,101436,
1069,1,38,2,2:00.017,120017,
1069,1,39,2,1:40.304,100304,
1069,1,40,2,1:39.668,99668,
1069,1,41,2,1:38.485,98485,
1069,1,42,2,1:38.808,98808,
1069,1,43,2,1:39.781,99781,
1069,1,44,2,1:39.229,99229,
1069,1,45,2,1:39.025,99025,
1069,1,46,2,1:38.892,98892,
1069,1,47,2,1:38.807,98807,
1069,1,48,2,1:38.845,98845,
1069,1,49,2,1:38.923,98923,
1069,1,50,2,1:38.878,98878,
1069,1,51,2,1:39.601,99601,
1069,1,52,2,1:39.265,99265,
1069,1,53,2,1:39.170,99170,
1069,1,54,2,1:39.423,99423,
1069,1,55,2,1:39.962,99962,
1069,1,56,2,1:40.122,100122,
1069,830,1,2,1:42.612,102612,
1069,830,2,2,1:41.750,101750,
1069,830,3,2,1:41.271,101271,
1069,830,4,2,1:41.125,101125,
1069,830,5,2,1:41.482,101482,
1069,830,6,2,1:41.830,101830,
1069,830,7,2,1:41.741,101741,
1069,830,8,2,1:41.932,101932,
1069,830,9,2,1:41.568,101568,
1069,830,10,2,1:41.710,101710,
1069,830,11,4,1:58.851,118851,
1069,830,12,4,1:40.426,100426,
1069,830,13,2,1:40.102,100102,
1069,830,14,1,1:40.411,100411,
1069,830,15,1,1:40.736,100736,
1069,830,16,1,1:40.872,100872,
1069,830,17,1,1:40.891,100891,
1069,830,18,1,1:40.798,100798,
1069,830,19,1,1:40.659,100659,
1069,830,20,1,1:41.038,101038,
1069,830,21,1,1:40.802,100802,
1069,830,22,1,1:40.991,100991,
1069,830,23,1,1:40.837,100837,
1069,830,24,1,1:40.838,100838,
1069,830,25,1,1:41.215,101215,
1069,830,26,1,1:41.493,101493,
1069,830,27,1,1:40.653,100653,
1069,830,28,1,1:50.440,110440,
1069,830,29,1,1:41.165,101165,
1069,830,30,2,1:59.712,119712,
1069,830,31,2,1:40.355,100355,
1069,830,32,2,1:40.452,100452,
1069,830,33,2,1:40.126,100126,
1069,830,34,2,1:40.150,100150,
1069,830,35,2,1:40.490,100490,
1069,830,36,2,1:40.266,100266,
1069,830,37,2,1:40.012,100012,
1069,830,38,1,1:40.077,100077,
1069,830,39,1,1:40.687,100687,
1069,830,40,1,1:39.955,99955,
1069,830,41,1,1:40.374,100374,
1069,830,42,1,1:40.216,100216,
1069,830,43,1,1:40.207,100207,
1069,830,44,1,1:39.661,99661,
1069,830,45,1,1:39.564,99564,
1069,830,46,1,1:39.509,99509,
1069,830,47,1,1:39.138,99138,
1069,830,48,1,1:39.226,99226,
1069,830,49,1,1:39.102,99102,
1069,830,50,1,1:39.238,99238,
1069,830,51,1,1:39.425,99425,
1069,830,52,1,1:39.096,99096,
1069,830,53,1,1:39.519,99519,
1069,830,54,1,1:39.806,99806,
1069,830,55,1,1:40.282,100282,
1069,830,56,1,1:39.668,99668,
1069,815,1,3,1:44.121,104121,
1069,815,2,3,1:42.284,102284,
1069,815,3,3,1:41.373,101373,
1069,815,4,3,1:41.388,101388,
1069,815,5,3,1:41.604,101604,
1069,815,6,3,1:42.040,102040,
1069,815,7,3,1:41.608,101608,
1069,815,8,3,1:42.247,102247,
1069,815,9,3,1:42.181,102181,
1069,815,10,3,1:42.049,102049,
1069,815,11,2,1:42.269,102269,
1069,815,12,2,1:43.229,103229,
1069,815,13,3,2:01.373,121373,
1069,815,14,3,1:40.287,100287,
1069,815,15,3,1:40.889,100889,
1069,815,16,3,1:41.070,101070,
1069,815,17,3,1:41.032,101032,
1069,815,18,3,1:40.812,100812,
1069,815,19,3,1:40.949,100949,
1069,815,20,3,1:41.116,101116,
1069,815,21,3,1:41.327,101327,
1069,815,22,3,1:40.993,100993,
1069,815,23,3,1:41.468,101468,
1069,815,24,3,1:41.442,101442,
1069,815,25,3,1:41.784,101784,
1069,815,26,3,1:41.622,101622,
1069,815,27,3,1:48.071,108071,
1069,815,28,3,1:46.295,106295,
1069,815,29,3,1:41.519,101519,
1069,815,30,3,1:44.262,104262,
1069,815,31,4,2:00.031,120031,
1069,815,32,4,1:39.566,99566,
1069,815,33,3,1:40.025,100025,
1069,815,34,3,1:41.176,101176,
1069,815,35,3,1:40.182,100182,
1069,815,36,3,1:40.434,100434,
1069,815,37,3,1:39.981,99981,
1069,815,38,3,1:40.268,100268,
1069,815,39,3,1:40.488,100488,
1069,815,40,3,1:40.563,100563,
1069,815,41,3,1:40.671,100671,
1069,815,42,3,1:41.319,101319,
1069,815,43,3,1:40.754,100754,
1069,815,44,3,1:40.390,100390,
1069,815,45,3,1:41.123,101123,
1069,815,46,3,1:40.296,100296,
1069,815,47,3,1:40.044,100044,
1069,815,48,3,1:40.512,100512,
1069,815,49,3,1:40.625,100625,
1069,815,50,3,1:40.867,100867,
1069,815,51,3,1:40.874,100874,
1069,815,52,3,1:40.644,100644,
1069,815,53,3,1:41.887,101887,
1069,815,54,3,1:40.717,100717,
1069,815,55,3,1:41.296,101296,
1069,815,56,3,1:41.338,101338,
1069,844,1,4,1:45.695,105695,
1069,844,2,4,1:43.439,103439,
1069,844,3,4,1:42.544,102544,
1069,844,4,4,1:42.876,102876,
1069,844,5,4,1:43.070,103070,
1069,844,6,4,1:42.894,102894,
1069,844,7,4,1:42.758,102758,
1069,844,8,4,1:42.504,102504,
1069,844,9,4,1:42.881,102881,
1069,844,10,4,1:42.274,102274,
1069,844,11,3,1:42.056,102056,
1069,844,12,3,1:42.831,102831,
1069,844,13,4,2:00.732,120732,
1069,844,14,4,1:41.037,101037,
1069,844,15,4,1:41.634,101634,
1069,844,16,4,1:41.629,101629,
1069,844,17,4,1:41.035,101035,
1069,844,18,4,1:41.107,101107,
1069,844,19,4,1:41.120,101120,
1069,844,20,4,1:41.107,101107,
1069,844,21,4,1:41.164,101164,
1069,844,22,4,1:41.691,101691,
1069,844,23,4,1:41.065,101065,
1069,844,24,4,1:41.198,101198,
1069,844,25,4,1:41.194,101194,
1069,844,26,4,1:40.933,100933,
1069,844,27,4,1:52.284,112284,
