resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25286,1069,830,9,33,1,1,1,1,25,56,1:34:36.552,5676552,52,2,1:39.096,200.278,1
25287,1069,1,131,44,2,2,2,2,19,56,1.333,5677885,41,1,1:38.485,201.521,1
25288,1069,815,9,11,3,3,3,3,15,56,42.223,5718775,32,4,1:39.566,199.333,1
25289,1069,844,6,16,4,4,4,4,12,56,52.246,5728798,41,3,1:39.303,199.861,1
25290,1069,817,1,3,6,5,5,5,10,56,+1:16.854,5753406,43,8,1:40.345,197.785,1
25291,1069,822,131,77,9,6,6,6,8,56,+1:20.128,5756680,41,6,1:40.147,198.176,1
25292,1069,832,6,55,5,7,7,7,6,56,+1:23.545,5760097,40,9,1:40.377,197.722,1
25293,1069,846,1,4,7,8,8,8,4,56,+1:24.395,5760947,41,7,1:40.228,198.016,1
25294,1069,852,213,22,10,9,9,9,2,55,\N,\N,47,13,1:41.151,196.209,11
25295,1069,20,117,5,18,10,10,10,1,55,\N,\N,40,10,1:40.481,197.517,11
25296,1069,841,51,99,12,11,11,11,0,55,\N,\N,44,12,1:41.145,196.221,11
25297,1069,840,117,18,13,12,12,12,0,55,\N,\N,36,14,1:41.189,196.135,11
25298,1069,8,51,7,15,13,13,13,0,55,\N,\N,43,15,1:41.340,195.843,11
25299,1069,847,3,63,20,14,14,14,0,55,\N,\N,36,11,1:41.120,196.269,11
25300,1069,849,3,6,14,15,15,15,0,55,\N,\N,46,17,1:41.818,194.924,11
25301,1069,854,210,47,16,16,16,16,0,54,\N,\N,36,16,1:41.395,195.737,12
25302,1069,853,210,9,17,17,17,17,0,54,\N,\N,42,20,1:42.886,192.900,12
25303,1069,4,214,14,19,\N,R,18,0,49,\N,\N,46,5,1:40.067,198.335,65
25304,1069,839,214,31,11,\N,R,19,0,40,\N,\N,28,19,1:42.194,194.207,26
25305,1069,842,213,10,8,\N,R,20,0,14,\N,\N,12,18,1:42.015,194.547,22
